t_ms,ax,ay,az,gx,gy,gz
jbjbjʊj
71440,19474,4568,1290,-6013,8408,-12466
71450,22317,-1137,491,-2013,-253,-14440
71460,10540,-6387,-1467,2158,2575,-6072
71470,5762,-1540,-1554,187,-5162,5365
71480,10081,-1540,1689,-719,595,13627
71490,13582,1678,-1570,2307,-5351,14336
71500,21992,6235,-1509,-2888,-1940,9577
71510,20582,10704,-1616,-5684,-3406,2097
71520,31400,12118,-1938,-8677,5005,-3983
71530,29278,7391,-5421,-5908,4234,-9418
71540,23261,640,-3187,-4139,4618,-13121
71550,12435,-3543,-1950,-1535,3176,-13819
71560,4933,-6766,56,-639,1993,-10954
71570,3228,-5400,19,-2711,4205,-6958
71580,3593,-1044,3948,-3606,5727,555
71590,7420,4188,3716,-225,1462,9314
71600,22847,7035,533,2838,-5361,18632
71610,23163,11272,-4432,2765,-9855,16612
71620,21377,11517,-4072,-4857,-8074,11826
71630,20228,9812,-1685,-12943,-4872,3008
71640,17751,7608,-2692,-17169,-1629,-5373
71650,23334,6509,-4536,-22356,-743,-12691
71660,27353,5852,-8042,-17786,4280,-16231
71670,23045,2468,-5430,-14343,-1667,-14451
71680,12654,-4399,-2494,-6032,-1653,-9220
71690,2639,-4814,1887,-6285,-4202,435
71700,-762,-6838,7102,-5714,-1245,7020
71710,2510,-5826,6330,1467,-2481,13133
71720,16089,-1756,1528,6949,-715,15927
71730,23960,6212,-3463,7801,-4617,15239
71740,30643,11266,-3894,4701,-2783,11223
71750,29802,13622,-6676,2042,-10634,6664
71760,29704,9554,-6762,-7359,-10805,460
71770,20050,3529,-1684,-18890,2904,-7416
71780,15642,1025,9,-17273,174,-12471
71790,16803,824,-3921,-12880,287,-16629
71800,19022,1548,-5013,-10913,6085,-17146
71810,12558,-1648,-5117,-2083,438,-11984
71820,11742,-3021,-4624,2027,-5188,-2909
71830,3249,1082,-2334,-4149,-2804,8767
71840,10464,-1263,3493,-5886,-1633,14342
71850,13988,2584,1566,230,-3320,11928
71860,20059,11221,2209,1132,-1732,8216
71870,29196,21594,6689,1790,196,-195
71880,29698,15983,1290,5736,825,-10889
71890,18726,5775,-5347,2723,988,-12682
71900,9839,-271,-5621,-2278,-1332,-6346
71910,5113,-2008,-2674,-6876,-614,366
71920,5561,-2014,-377,-7063,-2132,5754
71930,12779,-190,823,-6060,-2429,5112
71940,13478,2542,1396,-4367,982,4794
