t_ms,ax,ay,az,gx,gy,gz
j
69480,24466,-9271,-7047,29977,-32672,23890
69490,25201,-1053,-9187,24233,3811,25690
69500,16830,1858,-6259,12248,-9112,16422
69510,26547,8423,-5750,2108,-5515,12455
69520,32750,6706,-6403,-4866,-1792,2523
69530,32750,-1226,-2357,-12525,4841,-6782
69540,32750,-7879,-5058,-10214,25088,-5813
69550,12992,-9134,-187,-6318,22988,-11783
69560,11140,-8355,257,5297,4015,-18984
69570,9380,-10086,-3102,10566,2078,-27770
69580,6212,-7082,-3936,1186,-6509,-31495
69590,-556,122,-1271,-12276,-4371,-27306
69600,-1137,1748,4201,-20679,-2856,40
69610,5386,-2882,7122,-11021,-2966,15916
69620,14671,-4571,434,14925,-5964,28640
69630,23693,-11779,-10443,27880,-26944,24335
69640,7728,-8618,-10225,-440,-1288,25747
69650,32568,-3062,-4285,-6513,-11514,28215
69660,13461,1955,2002,2191,-7855,6801
69670,26547,5919,1645,3810,-16487,2062
69680,32444,2325,-3148,1617,2990,-334
69690,32750,-917,-5242,-6871,9443,-6973
69700,32750,-4825,-7792,-7662,13468,-12747
69710,22667,-7424,-4422,-7425,12103,-18310
69720,13129,-7356,-3240,-2964,9656,-22538
69730,10946,-8526,-4588,-1520,8078,-24250
69740,10612,-7370,-4436,-2133,4879,-25633
69750,7860,2554,-853,-9138,2096,-21195
69760,3964,5993,2174,-5840,5237,-11024
69770,-4291,1254,4146,-1588,-6688,4683
69780,7317,-1601,839,13687,-13587,21343
69790,12149,-4972,-1673,18303,-4481,23189
69800,16824,-3910,-5465,11403,797,25546
69810,16487,-2659,-1131,6731,-9025,15259
69820,18358,5643,-4386,8548,-3307,10296
69830,32479,11008,-6179,4517,-18418,5770
69840,32750,10607,-6367,-3428,11609,-922
69850,32750,5033,-4059,726,-3700,-16034
69860,20019,1756,-3894,-228,-2370,-20769
69870,17208,1464,-2286,-5798,2467,-14934
69880,14870,-4048,-506,-8823,15715,-17559
69890,9711,-7314,-5390,1987,-1094,-23049
69900,7677,-4410,-5571,-2283,-16180,-32259
69910,-5310,7818,-4895,-19804,30043,-17406
69920,-14596,1888,1670,-23304,-11004,12613
69930,20955,-4195,2132,6199,-14432,29751
69940,6825,-5668,-4885,21089,8126,24170
69950,25008,-1279,-8867,14161,-11966,25293
69960,15120,-304,-1681,12990,-11889,16610
69970,18556,7924,-4256,11096,-15991,15140
69980,32748,18732,-7132,8098,-7187,11454
69990,32750,17567,-10755,-8362,5908,3533
70000,32750,7531,-6483,-15437,15258,-9137
70010,28862,88,-5045,-13747,10942,-16731
70020,18083,-5304,-3362,-8737,10501,-19872
70030,7127,-8013,-4948,-2628,838,-24709
70040,5396,-7563,-4765,-7772,-2165,-24776
70050,2439,-3416,-2730,-12247,2093,-17317
70060,369,1557,-1087,-15229,16150,-1861
70070,-1562,2427,2243,-9946,2917,9238
70080,5838,-5087,3604,5936,-20939,22305
70090,20891,-6822,-4980,25517,-4934,26270
70100,17750,-5701,-7957,21258,-18734,25499
70110,21185,3403,-6462,13676,-5114,21717
70120,18737,6530,-4032,11978,-12395,11919
70130,31256,13255,-7080,4863,-11063,5524
70140,32750,11820,-9079,-10225,19724,1237
70150,32750,2932,-3691,-9037,-3448,-15301
70160,24932,-108,-6890,-6483,7626,-20590
70170,21253,-4327,-4782,-11509,6550,-19014
70180,8905,-7340,-2422,-9240,7554,-22770
70190,3050,-7539,-4562,-1134,-15139,-26590
70200,4253,-2961,-3991,-11915,-10282,-19498
70210,1740,3908,-885,-26208,25135,-769
70220,-10195,931,5261,-23926,18250,10385
70230,9469,-3881,4450,4207,-25067,26245
70240,15598,-10750,-4957,32764,-16832,21044
70250,27168,-4936,-14547,27391,-6415,29753
70260,28815,3749,-6603,7083,2182,20780
70270,13804,6762,-1363,2840,-4534,8695
70280,25294,11584,-4106,1255,-10292,1987
70290,32750,8423,-6540,-5819,6323,-5440
70300,32750,5681,-4790,-5692,5064,-8086
70310,32750,2909,-11351,-2962,11954,-15222
70320,19871,-2446,-4904,-10859,-91,-22765
70330,5794,-5984,-1129,-8447,-2590,-23784
70340,560,-7053,-1719,-5715,-7846,-18838
70350,1674,-5139,-1866,-10196,-2770,-12077
70360,354,1247,-2731,-14675,8574,-3912
70370,-1103,978,3392,-31567,10018,10000
70380,10367,-3278,8686,-59,-13155,24868
70390,18973,-4253,-7455,32764,-10711,21272
70400,24546,-5240,-15269,31465,-20710,21758
70410,28844,-1329,-11191,18580,7544,27307
70420,12322,4322,-2848,-1445,3424,13384
70430,16473,4485,518,2209,-15844,4843
70440,23945,9016,73,10,2131,2678
70450,32750,2473,-5653,-3407,-2952,3174
70460,32750,-5502,-6855,-14510,26914,-6432
70470,32726,-8401,-1315,-3448,12702,-19211
70480,19540,-8396,-2899,1976,10300,-24191
70490,8056,-8739,-3260,1880,747,-27953
70500,3474,-10140,-3203,-24,-5436,-28609
70510,1175,-9221,-3386,-5387,-3637,-24955
70520,-566,265,-1548,-17407,3815,-13879
70530,-6123,3882,5577,-25807,7342,3260
70540,573,428,8546,-4727,-15043,22938
70550,18328,-5025,-1080,24437,-20359,28628
70560,18333,-6820,-10670,27026,-17539,24248
70570,29117,-3059,-10176,17609,-5510,26719
70580,15184,219,-2918,2791,7001,21480
70590,22004,3300,-1861,1054,-5608,7701
70600,32527,3353,-1979,-5553,-6982,1559
70610,32750,-632,-3433,-5399,13130,-2267
70620,32750,-2535,-3294,-2944,4700,-12428
70630,26550,-3825,-4831,-442,13359,-22017
70640,10224,-4693,-2254,-489,-333,-26920
70650,5817,-6771,-1188,-1125,-6488,-24149
70660,5662,-8167,-2427,-1467,1395,-19920
70670,2580,-2970,-3065,-7251,11913,-18934
70680,-2568,6982,185,-16932,2639,-10379
70690,451,6924,4875,-12496,-8474,6257
70700,16482,1236,1601,8684,-10402,24891
70710,17877,-2067,-6716,17556,-6719,28557
70720,22641,-5680,-8386,17294,-17851,22024
70730,21156,-307,-6984,3637,4499,26129
70740,12948,-292,-324,-1985,-8720,16773
70750,17162,2964,-872,-1991,-6451,11388
70760,32745,3663,-1403,-7740,-5244,10622
70770,32750,-2846,-456,-6983,14260,2630
70780,32750,-8690,-2576,4357,13202,-6997
70790,24411,-7441,-3318,6258,5560,-23014
70800,17782,-8345,-2712,54,6230,-23194
70810,8160,-8952,-1876,283,4644,-26793
70820,9196,-8831,-2058,-1263,1956,-24635
70830,5724,-9148,-3536,-6221,10021,-29471
70840,-1322,6988,-2116,-7936,2087,-23504
70850,-7590,9807,4883,-17791,-19483,-4586
70860,13923,2483,2312,11546,-15703,28959
70870,5205,-5643,-6579,25820,2091,24971
70880,3378,-14711,-16075,22868,-31096,21856
70890,32750,-3745,-14702,6826,5353,32764
70900,15858,-912,-250,4270,-9165,11330
70910,32747,10758,2160,15689,-13671,-3572
70920,32115,13129,-16781,8137,-11365,330
70930,32750,7682,-17715,-15349,30137,4815
70940,32750,-2679,-12256,-11818,19725,-14356
70950,26004,-10352,-7310,-7702,13320,-24614
70960,12453,-10167,-6599,-3851,17360,-26769
70970,7416,-12472,-6116,-630,4650,-28592
70980,4779,-9709,-6195,-5944,5839,-28224
70990,-441,-4298,-4523,-13736,-179,-19969
71000,-2978,-2612,4346,-19058,-40,973
71010,-9175,-1761,9100,-3246,-9988,19162
71020,9866,-9965,-818,32657,-32703,24747
71030,24589,-12502,-22283,32764,2411,31249
71040,32487,2203,-22087,19233,-18789,27503
71050,17231,7204,-4607,794,-288,15204
71060,26807,10197,-4940,4031,-7223,10558
71070,32750,12233,-6832,-2721,5174,3607
71080,32750,3551,-4470,-1968,3141,-8964
71090,32750,2461,-16313,2208,12647,-15551
71100,24388,-4168,-8470,-12624,6696,-24140
71110,11669,-7086,-2787,-8315,1861,-25297
71120,6826,-9388,-3972,-4597,506,-23847
71130,6155,-10372,-4943,-7086,2094,-20134
71140,2140,-3958,-921,-22700,3805,-16420
71150,-7221,688,4812,-26176,561,-6274
71160,-876,-2519,10890,-498,-16815,17327
71170,13474,-8458,-7747,32368,-2352,32739
71180,21726,-10027,-24229,32239,-11334,32610
71190,26213,-5953,-13558,7863,-9567,30825
71200,22469,1928,-7353,7890,-7936,19361
71210,13769,6455,401,7839,-16259,7261
71220,32745,10025,4472,15656,-740,-1105
71230,32750,11420,-17476,3834,-12264,-1034
71240,32750,3827,-23694,-8488,32573,-5417
71250,32613,-10692,-14821,-20013,11593,-19360
71260,19024,-12389,-6750,-8243,5276,-29569
71270,9447,-14039,-9547,-2521,3401,-28139
71280,9388,-13986,-7790,-14093,5281,-27116
71290,2939,-8915,-4722,-23170,8875,-25538
71300,667,-7959,3606,-27616,7114,-11278
71310,-5237,1152,6735,-6518,4402,2890
71320,-5277,163,9407,7909,-23250,11467
71330,13783,-8676,-2934,32764,-12677,24269
71340,7499,-14300,-16096,32764,-2370,29501
71350,28476,-8373,-20206,25182,-15511,32189
71360,23657,-5010,-8668,14206,-1992,21027
71370,25145,5031,-11982,3665,-7305,9213
71380,32750,2399,-10539,3440,-4279,8646
71390,32750,-1959,-7896,-2397,11982,-2365
71400,32750,-3222,-9413,-123,2698,-14233
71410,23329,-4687,-6735,-7617,6228,-18876
71420,17065,-5291,-4517,-7854,3776,-23743
71430,14802,-6872,-6650,-5772,3378,-27857
71440,10132,-10258,-8495,-10894,1690,-32532
71450,593,-5729,-5325,-18568,-11426,-28934
71460,-2318,-208,1822,-25805,-6481,-13333
71470,-3150,-3086,9990,-17230,8425,15751
71480,5668,-5363,4106,16438,-10619,29166
71490,15235,-9573,-9177,32764,-18698,21838
71500,22266,-8554,-20261,32457,-17462,22330
71510,25713,3944,-10435,7535,781,18198
71520,20252,6157,-5465,6797,-3023,8741
71530,13686,9825,-6865,7432,-10745,-695
71540,30278,9375,-13446,2750,127,3121
71550,32750,5264,-19027,-2344,485,-3734
71560,32750,923,-17106,-12170,3385,-12091
71570,25744,-2371,-11522,-16631,7511,-15271
71580,12375,-4195,-4857,-15603,7595,-17186
71590,4279,-5386,-2084,-11735,1538,-18298
71600,1563,-5828,-2439,-10030,12,-16708
71610,-1156,-3576,-2302,-11927,933,-11259
71620,-2828,9221,434,-17206,4851,3322
71630,6677,5661,581,-8949,-2427,17556
71640,23094,1234,-6130,7498,6104,22136
71650,13365,-2124,-10039,15206,-24627,12079
71660,22066,-1499,-12237,19265,-24189,11361
71670,16271,520,-8965,8731,-2605,16428
71680,15014,3098,-4985,-349,9534,16298
71690,14820,3384,-2758,-2349,-5179,7204
71700,23442,7565,-6834,451,-11353,405
71710,32750,8006,-16960,-1764,6523,390
71720,32750,518,-11293,-11768,15698,-9110
71730,28311,128,-8845,-3313,12287,-22226
71740,12232,-1599,-5764,-3178,73,-26772
71750,3923,-2931,-3407,-4812,128,-23471
