t_ms,ax,ay,az,gx,gy,gz
,7820,-4195,-3868,15472,-8155
66740,32366,4282,-1878,-3485,-1416,-26218
66750,15145,-1220,-3130,-1691,441,-25670
66760,4275,-2619,-2066,-3140,-10326,-22165
66770,4887,-5508,-3604,-2269,-7860,-12846
66780,5958,-5958,-3137,-14341,9223,-6080
66790,5063,-3791,240,-16847,13914,-5059
66800,3338,-330,5490,-14780,943,2330
66810,8208,2040,8478,-2010,-4889,14273
66820,20499,-2469,-2811,26400,-20397,19297
66830,25847,-592,-6941,24742,-10159,25914
66840,24666,2646,-7836,20056,4229,25468
66850,16541,5563,-4762,12054,-13719,10242
66860,18271,7989,-4754,7093,-2585,6999
66870,26287,9764,-6300,-2252,321,686
66880,32750,10187,-8395,-11609,11157,-8128
66890,32620,748,-7741,-9294,10279,-18329
66900,32750,-5962,-8864,-9971,8924,-14686
66910,15424,-6230,-2062,-10683,6677,-18585
66920,5417,-6183,3,-5047,-9887,-17980
66930,4336,-8173,62,-6013,-7236,-8969
66940,3950,-5223,248,-7762,2862,-4488
66950,3024,-402,1031,-11973,2733,-3586
66960,4282,4071,3517,-13486,7365,-3268
66970,6292,5546,8454,-10603,-12213,3911
66980,19786,687,68,17717,-14781,11511
66990,15455,-3881,-7540,32211,-19986,11536
67000,30382,69,-15259,31716,8805,22106
67010,17621,3718,-11040,15822,-7623,12917
67020,13969,7267,-5700,12633,-11934,2735
67030,18327,10362,-7391,2794,2770,3034
67040,31442,9028,-8864,-6911,253,-1643
67050,31092,6545,-7188,-8207,7381,-6072
67060,32750,5470,-12285,-8374,9569,-10181
67070,21573,-3680,-6407,-14115,5249,-19098
67080,9754,-5119,-1896,-11420,522,-19724
67090,4832,-6780,-2914,-9192,-738,-16216
67100,6785,-8144,-3526,-13219,6199,-9351
67110,4665,-1700,-2934,-18379,11937,-8583
67120,9069,1553,4245,-19308,-2672,-1776
67130,4512,4690,7966,-5902,4341,9261
67140,12291,-294,2812,21437,-22293,13407
67150,18398,-607,-11035,32764,-5511,19525
67160,17431,-1596,-8300,23050,-6730,21035
67170,22075,4267,-8391,12576,6019,18850
67180,13685,6929,-2010,1965,-12030,5953
67190,26169,10770,-3184,-494,-8876,1613
67200,32750,9948,-4652,-3643,1786,-5618
67210,32750,7684,-9492,-1107,12086,-8362
67220,23862,1822,-6888,-6742,6372,-18291
67230,18725,-2347,-4217,-6586,-340,-17742
67240,9379,-5585,-6089,-9844,11555,-16478
67250,7364,-8374,-5286,-12346,756,-20172
67260,1835,-4885,-2619,-17052,2356,-18035
67270,2383,-118,3602,-17819,-2603,-2308
67280,3928,810,6379,-10446,17247,19926
67290,13071,-431,4527,18227,-22145,18126
67300,18756,2001,-7801,30852,-15013,14759
67310,18573,2526,-8150,26881,-7124,18166
67320,16610,3292,-6846,14686,-1503,17031
67330,12072,5117,-4929,2160,3063,7996
67340,19843,4822,-2945,446,-18490,1682
67350,32750,6534,-7140,-1547,3432,1702
67360,32750,5499,-9636,1790,-1365,-7265
67370,31744,4780,-10692,-1142,1834,-11721
67380,16720,-73,-5752,-13018,4064,-13555
67390,12589,-4731,-2526,-14360,4629,-14891
67400,10199,-7525,-6240,-12467,-15588,-18751
67410,13537,-2779,-3730,-15378,-6831,-20039
67420,-6122,6738,-1867,-28469,30102,-5333
67430,-1843,9084,6760,-25605,4298,10978
67440,10837,4890,7090,159,-10533,19385
67450,10278,-1955,-1105,22727,-9078,13174
67460,10651,-733,-12298,22569,-8180,8609
67470,6370,-6231,-5183,12337,-32764,-4028
67480,20938,4583,-13152,9029,31190,19922
67490,30290,14039,-6043,4385,-27480,-1501
67500,32750,19231,-16970,459,12122,3081
67510,32750,12043,-7344,-20273,-1416,-5682
67520,19147,5335,-11059,-4223,2645,-20297
67530,7003,-993,-8962,-13513,10195,-14274
67540,3404,-6749,-3216,-18260,16095,-4518
67550,1765,-6201,-406,-13579,12979,-8901
67560,4736,-619,1259,-11129,12377,-7690
67570,36,4780,1490,-6259,5280,-4867
67580,2324,5983,5414,-4175,-6125,2774
67590,8367,-5262,5828,10025,-9420,27329
67600,22569,-8764,-5901,32663,-5544,31398
67610,21514,-11216,-6925,18818,651,32764
67620,28953,-4184,-4102,1745,12675,32572
67630,18615,-364,787,3936,-25288,8372
67640,22429,5760,-3513,1804,-19077,2098
67650,32750,6828,-1384,-7797,-5982,4466
67660,32750,1639,619,-12051,15006,-4224
67670,32750,-3742,-672,-6642,6875,-16561
67680,29515,-8099,-4414,-7557,23532,-20629
67690,13235,-10525,-2551,-2558,9942,-29087
67700,5398,-11552,-5305,1796,1809,-32296
67710,3942,-9873,-6788,-6386,-1225,-25700
67720,366,-1919,-1012,-17574,2254,-13888
67730,703,-1461,3973,-15030,8527,4909
67740,-6129,-1868,7285,-3373,-1518,12851
67750,15666,-7095,5156,21482,-26304,25779
67760,18800,-7589,-7151,30296,2958,27496
67770,28081,-967,-8918,22668,-18135,23305
67780,15643,2678,-3058,14916,-4205,20742
67790,18830,5970,-5259,15040,-3739,13671
67800,32750,9193,-9281,-8561,-8719,1620
67810,32750,1555,-2510,-21623,8122,-2513
67820,32750,-6584,1866,-13801,19466,-4655
67830,18938,-7365,1894,-550,6814,-21110
67840,10130,-6690,286,2074,-2009,-23198
67850,7466,-7665,-2085,891,3401,-18918
67860,7322,-7797,-2908,-2410,7413,-18101
67870,4627,-3900,-785,-11037,9140,-18841
67880,2918,6931,3557,-20110,17854,-3511
67890,1840,7621,7601,-18246,15010,18652
67900,10548,-1963,8545,1555,-18567,17417
67910,11775,-6602,1510,20879,-15997,16819
67920,22557,-8048,-6583,17639,-12892,24828
67930,11030,-4324,-724,888,-12297,14943
67940,22284,-3046,900,4310,-10110,17382
67950,27099,-2770,5282,-5870,-8948,7396
67960,32750,-45,8146,36,-5874,4667
67970,32750,2861,2029,6071,2437,-4497
67980,32750,629,-1906,-5455,6861,-8885
67990,19228,-7598,530,-10207,6888,-16137
68000,12588,-12923,-1300,-1026,7193,-20146
68010,3498,-12637,-2123,2080,5736,-26659
68020,2748,-6925,-3564,-1331,2144,-23612
68030,1600,323,-1582,-10157,-1570,-19798
68040,-722,4117,3443,-16715,1004,-1050
68050,4982,781,6779,2141,-18514,12174
68060,15746,-5890,-3337,30527,-8951,23803
68070,17891,-11894,-16936,29590,-22245,21954
68080,29388,-2074,-11111,11729,2040,27742
68090,22230,311,-4409,-738,1663,20721
68100,19502,5038,297,-5451,-4334,7095
68110,28328,5595,-2619,-6795,77,2532
68120,26444,-3249,199,-10886,3397,-3555
68130,32750,-7662,-1765,-2460,9875,51
68140,28805,-7354,-7498,204,23705,-5261
68150,17492,-11427,1099,-6383,246,-14394
68160,12003,-8696,3201,965,4249,-17206
68170,7374,-10839,-738,11985,3327,-25592
68180,6613,-10568,-9712,16490,1098,-31305
68190,6523,2122,-5291,-9358,-19460,-25311
68200,8561,2129,-357,-19642,16341,4996
68210,9974,6367,2777,-10808,2459,24620
68220,8094,835,2511,7695,-24440,12620
68230,15096,-3030,-7763,32759,-15181,9769
68240,15017,-1642,-11073,23791,-5527,11533
68250,10292,4061,-7256,904,-4888,9504
68260,12493,5601,-5086,-8172,-4026,7676
68270,32744,8301,-5703,-21381,3249,12886
68280,32750,2743,981,-23188,17709,8033
68290,32750,-4034,-935,-4076,20275,-904
68300,21310,-5709,-1254,-1058,20564,-13043
68310,14148,-5898,-2288,4151,-228,-23901
68320,10367,-8286,-5253,4733,1096,-28357
68330,11832,-10306,-6478,1240,-422,-21735
68340,4869,2636,-4147,-12431,12649,-24167
68350,-10333,10738,3283,-19886,-6917,-12882
68360,1268,5465,8749,1354,-32403,15921
68370,10107,-3250,1710,29688,-4605,22999
68380,9400,-13442,-13277,32764,454,21527
68390,11407,-191,-12422,12961,-8419,16707
68400,30200,83,-6601,1041,-4622,19189
68410,15137,722,-1589,-3501,3106,5671
68420,32750,5856,-11507,5483,-464,8265
68430,32750,7985,-9495,-2822,3116,-4431
68440,32750,2634,-10832,-7684,11346,-7308
68450,18075,-2543,-2298,-12541,4777,-18876
68460,9976,-3889,-1717,-4639,-385,-22366
68470,8922,-7018,-5157,-2109,6179,-20186
68480,5801,-5686,-6293,-7791,10377,-19972
68490,3112,2938,-3859,-11441,12,-17744
68500,4649,5602,1203,-17678,2616,-4238
68510,1127,5472,6168,-6622,-2239,8421
68520,11018,1334,-3607,20349,-12158,16301
68530,9622,-175,-9083,25036,-6386,16917
68540,22477,37,-13682,10553,603,24662
68550,14783,3816,-3702,942,5943,16034
68560,14421,3445,-1723,6990,-22800,-561
68570,20395,8887,-2490,1803,-14478,-87
68580,32750,11771,-8943,3533,8241,7895
68590,32750,10168,-14686,1847,7957,-976
68600,26692,5601,-8360,-5988,-1305,-15782
68610,16460,1237,-5007,-7344,3591,-15471
68620,8365,-3177,-4417,-8962,9193,-14425
68630,7684,-5985,-4069,-8173,2652,-15500
68640,11193,-3498,-5853,-1298,-13244,-19378
68650,8978,10429,-6620,-14902,20371,-13234
68660,-5971,11578,1133,-28137,4664,-10097
68670,-1969,4943,8742,-8244,-15953,13577
68680,8536,-277,-5072,25314,-3758,22728
68690,-81,-2329,-8337,10099,-99,24216
68700,21399,-7202,-4504,9628,-7309,31761
68710,17518,-2143,-1075,6325,-5403,16458
68720,29304,3478,168,5868,-13699,8277
68730,32750,8207,-1439,3615,311,6650
68740,32750,6637,-8125,7788,2713,1985
68750,32750,5087,-9576,-5905,16370,-6578
68760,18411,-1914,-341,-8096,4224,-20970
68770,10379,-6078,-924,-2128,1677,-23693
68780,3943,-8887,-3150,-4,1037,-25135
68790,3257,-6946,-4152,-1250,-1766,-22653
68800,4222,3528,-856,-13799,1909,-18433
68810,-2414,8104,2277,-15087,3847,-7942
68820,5442,8174,1215,3178,-10401,8640
68830,7605,2900,-4787,16302,-2574,22474
68840,14065,-6221,-5023,21969,-11136,24513
68850,14735,-6503,-5291,18437,3242,24293
68860,22501,-2320,-7374,16027,-3909,18829
68870,16010,2620,-3750,5581,-1858,9200
68880,27350,8397,-6067,4525,-8763,6329
68890,32750,12345,-9297,-7592,14368,-336
68900,32750,809,-2994,-3515,-3143,-10980
68910,26160,2736,-7820,-2393,8406,-17985
68920,19375,-874,-5160,-9088,-2733,-21484
