t_ms,ax,ay,az,gx,gy,gz
j
60780,29358,-10455,-12289,26700,-4748,16535
60790,24644,-5320,-11450,24209,-3713,12023
60800,21416,765,-11150,18304,-2554,5248
60810,16753,4701,-13427,8832,-1750,-517
60820,15555,3643,-12629,-4378,-1924,-3093
60830,18802,-610,-12676,-15772,509,-5154
60840,26892,-5454,-14376,-23513,-2238,-10212
60850,32741,-13189,-13238,-30147,-5760,-18477
60860,32740,-18231,-10083,-32161,6534,-21677
60870,25512,-17854,-8342,-24133,7904,-26841
60880,16403,-13712,-4665,-20713,12341,-24631
60890,8826,-9926,-1418,-11647,9539,-19747
60900,3718,-6761,1253,-4636,3734,-13620
60910,275,-5501,1631,24,1045,-5356
60920,-1182,-5187,1875,3338,-1790,4089
60930,2182,-7686,802,7022,-3967,17731
60940,9853,-11670,-1749,9550,-5189,26014
60950,20944,-16602,-3432,11727,-3241,31992
60960,29210,-20782,-5532,14692,-2228,31560
60970,30866,-18248,-7284,19480,-7130,28079
60980,30829,-13945,-7742,25136,-11865,22277
60990,25812,-8830,-7988,25462,-6717,16200
61000,23115,-4276,-7961,21768,-4096,10140
61010,20091,-656,-8770,15495,-3480,1870
61020,16760,731,-9081,8200,-3927,-3746
61030,16493,-781,-9100,-3333,-3172,-6726
61040,19088,-5083,-9418,-11062,-5189,-8650
61050,25027,-10785,-11490,-19762,-2488,-13296
61060,28239,-16880,-11597,-27588,-3357,-15803
61070,27480,-18938,-7978,-32512,2238,-19232
61080,26255,-17072,-3619,-27300,7401,-22040
61090,20957,-14662,-3025,-18255,7115,-23993
61100,13265,-12065,-739,-11812,8709,-22540
61110,5507,-8704,842,-5382,6441,-17303
61120,1186,-6223,2452,-1659,2139,-10270
61130,-1957,-4899,3129,1400,864,-1136
61140,-936,-5299,3815,4544,-1797,12922
61150,6168,-9978,958,10068,-5478,22284
61160,21120,-13682,-3876,15212,-6017,26721
61170,26293,-14094,-7058,14243,-1206,24869
61180,26016,-15490,-5040,16297,-3317,25596
61190,27982,-14053,-6783,20039,-3442,23312
61200,27699,-10043,-7501,20549,-2978,20976
61210,26139,-4027,-9075,17647,-2748,14534
61220,20652,2201,-8667,8510,-1426,7250
61230,19367,3613,-8494,379,10,2041
61240,20069,756,-7726,-7337,1926,-3617
61250,23513,-4080,-8184,-12810,3733,-9836
61260,24710,-9641,-8745,-17987,250,-16540
61270,28639,-14710,-7887,-20936,171,-21894
61280,29363,-16427,-7229,-21088,2538,-24045
61290,26501,-16930,-6092,-18213,956,-26394
61300,18033,-13277,-4669,-16861,6790,-25139
61310,12188,-10853,-1557,-12285,5677,-21015
61320,6536,-8519,228,-7097,6789,-15006
61330,1612,-6223,1422,-3032,5056,-8428
61340,-1891,-4729,2547,118,1104,5
61350,-1555,-5344,3587,2743,-2071,11208
61360,7303,-10923,487,10017,-5985,22694
