t_ms,ax,ay,az,gx,gy,gz
62200,22899,-685,-654,-9576,4021,-19139
62210,20003,-2858,-3631,-4629,7981,-20241
62220,14794,-5569,-3649,-1266,2326,-13214
62230,2842,-4444,-3422,2228,64,-1373
62240,1724,-2871,-97,-1419,-1887,11311
62250,8152,-6140,4259,254,453,16383
62260,12573,-4859,1569,6197,379,16104
62270,14982,-2394,404,7724,1382,15510
62280,22735,3243,-1580,8241,-583,18150
62290,32750,8153,-2177,5401,-555,13314
62300,32750,11357,-3434,2642,-4459,6129
62310,32380,8385,-2495,-5670,-4794,-5958
62320,20805,2958,985,-9334,217,-13463
62330,17299,-956,468,-7516,-778,-18598
62340,14485,-2319,-1554,-6528,-1231,-21255
62350,12584,-6133,-910,-7549,9608,-17946
62360,2149,-9852,-1090,759,5996,-10051
62370,8717,-9180,-4482,6705,-6609,10461
62380,7100,-6346,-2411,2536,989,19857
62390,14290,-11756,3012,2511,1025,26564
62400,19029,-7654,460,7939,-356,22289
62410,23227,-3336,1653,5194,6674,18993
62420,32572,4471,-1782,5864,-545,17375
62430,32750,5002,149,5965,-1536,1186
62440,30889,8890,-6856,5790,-8514,-2189
62450,29447,7369,-4125,-9584,-6370,-9712
62460,20839,389,2066,-14142,15,-17130
62470,23846,-4459,738,-15194,1487,-24585
62480,23802,-10823,233,-12646,8068,-30247
62490,21631,-20229,-1506,-1251,15541,-23954
62500,-881,-14538,-6782,7010,-3167,-10761
62510,-8564,-4228,-1517,-2549,1478,16626
62520,3467,-12926,4168,-123,-4342,32619
62530,19466,-9325,-1411,9266,-4687,31046
62540,32750,-2516,-1215,6142,-3702,22029
62550,25900,4946,308,6747,-2212,9186
62560,32750,9120,-1201,6372,-4056,1681
62570,28680,865,4930,1558,3854,-8436
62580,20563,1021,-2653,9447,-6455,-6821
62590,21597,2365,-7610,-5833,-9540,-7409
62600,16173,1737,-1677,-13833,35,-9580
62610,16822,2506,1703,-14368,-2358,-14572
62620,24652,112,1939,-13368,2594,-20293
62630,26298,-2806,-1922,-8367,12730,-23792
62640,14473,-8481,-2717,339,4452,-21574
62650,832,-7882,-3655,6379,1587,-5336
62660,-2767,-3359,-3124,3155,-1814,12400
62670,2684,-10701,2580,2771,-1519,21751
62680,12270,-10252,1767,6025,-191,23430
62690,14563,-9534,6800,6767,4434,24601
62700,32743,-2409,-3539,18704,-874,32764
62710,32750,5821,-5122,12211,-4718,15574
62720,32694,13277,-10437,2331,-8095,5757
62730,26893,7561,-5061,-13138,-3594,-4470
62740,14226,256,580,-16956,4814,-13189
62750,20309,-3188,-318,-12981,-246,-19437
62760,28632,-7272,-1349,-10211,3975,-25899
62770,20538,-8883,-3707,-2775,13952,-28738
62780,8166,-10225,-3853,-1604,7523,-13181
62790,-2700,-11059,-3186,2061,742,548
62800,2341,-9733,2676,-4693,-5853,20944
62810,11876,-9729,4141,2147,295,22861
62820,25085,-6337,2870,3910,-2186,19117
62830,19404,565,2110,6531,2201,14576
62840,30085,4501,1911,7584,-3801,12354
62850,30839,7986,19,7953,-3928,6658
62860,32183,9590,-4081,5168,-8360,687
62870,26380,5717,-2505,-4490,-7199,-6621
62880,18258,222,2530,-12045,1239,-12278
62890,20181,-1734,2770,-9810,2630,-16652
62900,21499,-1776,1473,-8708,1707,-21734
62910,20342,-2884,-294,-6640,10444,-21647
62920,11674,-5297,-942,-1202,4911,-15230
62930,6040,-6700,-3261,6976,-2383,-3025
62940,518,-3200,-3108,4609,-2056,6460
62950,-132,-5493,1676,1369,-957,14036
62960,4353,-5383,3439,2740,909,17934
62970,10957,-7515,4600,2913,8663,18779
62980,30386,-6702,816,3902,-1797,29237
62990,32750,-2180,2443,5543,-4388,18345
63000,32750,17673,-8217,9594,-18618,10981
63010,32750,20722,-3906,-4477,-10333,-8430
63020,31994,3456,1985,-13840,-990,-23832
63030,28191,-10833,2859,-14998,5761,-32764
63040,17114,-15776,-1317,-8874,16185,-32764
63050,-1648,-24599,-7462,4904,2727,-19388
63060,-10505,-15842,-8650,6634,1284,7016
63070,-10273,-15885,-2707,-4139,-639,32111
63080,31884,-21297,7236,38,-12657,32764
63090,32750,1615,-3880,12647,-4328,24333
63100,32750,14911,-5593,7187,-5404,15351
63110,32750,19917,-7668,898,-4982,-7159
63120,32750,6884,-6279,-11175,-1626,-14845
63130,24929,-8061,1102,-18555,8629,-26722
63140,14206,-13604,2127,-11089,10947,-30758
63150,-832,-21529,-4899,5929,10928,-17881
63160,-3557,-19882,-9200,11144,-7718,-783
63170,-4491,-11778,-6107,4448,1959,26620
63180,24803,-18636,2890,2804,-5978,32764
63190,32750,-1373,-5218,9182,-5365,23922
63200,32749,13287,-2050,4607,-506,14311
63210,32616,18113,-1594,3329,-3186,-2052
63220,31619,11587,-7635,-668,-694,-9996
63230,32750,2848,-7724,-10488,-2645,-21813
63240,19635,-10999,-2152,-16106,5030,-31194
63250,5064,-18305,-272,-11871,6436,-27222
63260,-8966,-24115,-2261,3012,1146,-8240
63270,3710,-20120,-7146,16830,-16181,22691
63280,20438,-13132,-5973,8312,-419,32764
63290,32750,-5333,-3706,10069,-571,27445
63300,31194,12830,-5537,7692,-110,4005
63310,32330,18497,-7847,3196,713,-2972
63320,30292,9237,-2640,-5787,9291,-19192
63330,13252,1544,-4486,-1605,2829,-19624
63340,18728,-2813,-4760,-4124,-5881,-15397
63350,10343,-9389,-2438,-8708,2792,-16850
63360,2861,-13654,899,-9046,3210,-10530
63370,-3206,-14931,1513,1004,5806,3194
63380,13951,-15069,-4024,11825,-11036,26904
63390,27513,-8462,-9566,13069,-3266,30109
63400,32750,-559,-7120,5362,-2634,21118
63410,27523,7520,-3262,-1174,-1451,3207
63420,23608,9503,-1875,-934,1248,-2811
63430,32750,9198,-3097,-3022,-530,-12485
63440,16988,4735,-2897,-1095,3578,-20370
63450,24587,3830,-5333,-1830,-8889,-16171
63460,19689,-3533,-2000,-10271,3128,-20330
63470,7435,-8472,-852,-11337,4186,-17794
63480,3919,-9214,-907,-8347,3376,-12187
63490,8678,-8636,-1638,-292,1269,1029
63500,9571,-7953,-1869,5161,-1740,10731
63510,17473,-7355,-4820,10059,-4736,23233
63520,24474,-3435,-4352,7697,-1183,24581
63530,22912,3429,-3908,7364,-443,18260
63540,19532,9315,-412,4399,1986,10165
63550,23344,15175,-3656,7544,-2643,7045
63560,32012,15116,-8763,1262,-2998,-10069
63570,27972,9132,-10144,-3536,-3446,-11699
63580,29348,541,-7953,-12828,-5578,-17105
63590,16143,-6815,1140,-19422,4863,-20649
63600,8197,-4107,-2009,-14198,5621,-22032
63610,9421,-5698,-2359,-6939,10297,-13191
63620,11727,-10315,-4308,2246,-5389,-845
63630,11047,-5841,-5174,5063,-2996,11571
63640,15490,-5399,549,-1271,-2811,20640
63650,17086,-4122,4344,2023,2249,19036
63660,21568,2822,1037,7414,1460,14721
63670,20227,11669,-4004,12565,-742,9977
63680,32750,24149,-10596,9890,-6891,117
63690,20129,19682,-8720,-2673,-3488,-12456
63700,32750,7125,-5524,-16167,-4402,-13651
63710,21975,-1358,1869,-20060,8215,-19302
63720,17392,-3096,1979,-13832,6245,-21768
63730,11833,-3792,-2487,-6208,7956,-20334
63740,9949,-3650,-3367,-6627,11050,-11602
63750,453,-4248,-3520,1861,-548,3343
63760,4211,-5254,-2112,5397,-4131,20870
63770,15589,-5314,-3107,9830,-8343,27813
63780,20496,-2803,1029,6558,-1355,25955
63790,21645,3026,1343,10144,-3457,17931
63800,22926,10036,-1159,12030,-566,16353
63810,32750,20213,-6727,8917,-8038,5747
63820,32749,15736,-4772,-444,-1881,-2700
63830,31820,11742,-6052,-5904,-5994,-11907
63840,21242,832,-558,-15047,3790,-19767
63850,14882,-4278,-91,-10363,2360,-23194
63860,14111,-7550,-3744,-10081,3995,-23043
63870,3829,-7139,-2807,-6728,7002,-17289
63880,-3386,-6349,-1470,7787,-5301,-5005
63890,6337,-3219,-3621,11320,-6364,20124
63900,20992,-372,-580,6181,-3924,27399
63910,25100,-3146,2313,6130,-430,24628
63920,22317,1714,-1649,7335,291,15480
63930,16655,9011,-3114,7165,2732,14142
63940,32750,17203,-9458,6287,-5930,6309
63950,30072,17068,-8485,734,-771,-5034
