t_ms,ax,ay,az,gx,gy,gz
j
52070,7396,5132,-6555,4363,6949,3471
52080,14835,7411,-7065,-322,-6287,-1902
52090,17052,11621,-11965,-7238,-5433,-5015
52100,29283,10532,-15171,-12451,6421,-2172
52110,19843,4317,-8742,-9167,300,-2743
52120,19444,3506,-11319,3777,5095,-3393
52130,7244,-1042,-8367,2361,-7464,-5058
52140,8697,-712,-6702,853,-6197,-2853
52150,4620,-1266,-5476,-3757,3733,-2067
52160,5694,-3434,-4513,-7559,7341,1159
52170,10584,-3440,-5875,-9546,7802,2665
52180,15135,-1781,-5244,-4622,5380,5012
52190,19363,960,-6734,6560,-11538,1376
52200,27161,746,-13467,17345,-6744,3960
52210,17804,408,-10455,12273,-984,5394
52220,16414,751,-6991,9860,-1381,6081
52230,10120,3653,-5260,8168,5460,4645
52240,7601,4412,-3459,3783,-3573,1617
52250,13811,5696,-5641,-2266,4228,-1347
52260,18033,10444,-11628,-7694,4018,-4643
52270,25871,6694,-10975,-15075,2645,-3175
52280,29989,3651,-10437,-8131,19940,3028
52290,16188,393,-6864,4782,-6189,-7889
52300,10454,294,-5642,9600,-20692,-13752
52310,9242,-417,-4140,623,-4221,-9186
52320,8923,-2560,-6170,-6578,12960,-5027
52330,7791,-7183,-5531,-9487,9912,-4175
52340,14620,-5944,-7257,-88,9514,648
52350,7866,-1545,-7152,3812,-5113,-1493
52360,22454,3098,-11455,14631,-20209,3410
52370,19178,4452,-14303,15228,-4741,7410
52380,16320,3312,-6175,7293,-4953,10093
52390,13974,5102,-5583,4520,10615,11367
52400,10329,5731,-3105,-2910,549,7118
52410,12074,4850,-3308,-5996,2844,3118
52420,15761,8429,-11597,-8470,628,-1428
52430,30895,7047,-15740,-21454,7054,-217
52440,20575,1151,-9388,-17202,12951,-2556
52450,20511,-2054,-7742,4288,-3784,-4400
52460,10521,-1274,-8499,10623,-5166,-7716
52470,11931,-173,-6324,5774,-3657,-3498
52480,7272,-2285,-4125,-2852,11416,-2156
52490,8389,-5180,-4626,-1468,4468,-3836
52500,8794,-4503,-5397,-721,3787,-4362
52510,19801,1606,-9354,10206,2673,2246
52520,14324,7009,-8362,14616,-7399,1052
52530,23309,5374,-9722,13278,-5700,7334
52540,11888,2644,-8360,9235,-5995,6512
52550,16024,4294,-10344,8630,-10281,4512
52560,7460,2514,-5924,-9328,-6750,626
52570,10654,2549,-6026,-12702,-4426,257
52580,21777,7550,-14877,-18031,-2957,593
52590,26163,6992,-14746,-21161,14827,5001
52600,19827,3686,-12338,-2734,5025,-3101
52610,12875,3807,-14737,7973,-6094,-11257
52620,5289,1597,-6078,2897,-13972,-8021
52630,4353,182,-3818,-63,-2080,-2113
52640,3966,170,-4941,-5811,13003,4338
52650,4676,-1785,-3129,-11115,8339,6417
52660,12523,-338,-5980,-4790,1244,2077
