t_ms,ax,ay,az,gx,gy,gz
-3087,-2289,-6129,918,-6360
58610,2564,-5150,-4269,-9643,-4243,-2513
58620,6461,-2879,-2297,-16250,-2189,-3431
58630,-1484,6839,-2674,-22502,15231,-2696
58640,7481,5823,1908,-13680,-16408,13948
58650,29240,9335,-9495,11818,14402,20981
58660,17117,5079,-13880,12184,-12518,13606
58670,19531,4478,-10063,12455,-26507,2734
58680,13429,1302,-7091,8024,-11766,5175
58690,20704,4054,-6462,1646,4963,9581
58700,14043,3619,-3660,-2801,7325,1000
58710,18703,3842,-3914,610,-894,-2896
58720,19963,1668,-5325,3188,6257,-2649
58730,19475,1071,-7233,6897,11575,-3878
58740,12841,1943,-6423,7178,1198,-9633
58750,10579,-1240,-5449,480,-8114,-9291
58760,19462,1534,-6501,-1381,7219,1368
58770,16779,2621,-3606,289,2066,1024
58780,13584,1115,-2866,1207,-3547,-3212
58790,12315,2998,-3733,-3508,1750,1098
58800,13045,2877,-2879,-6243,2282,4620
58810,18387,2378,-4239,-3674,3149,6823
58820,13040,463,-7582,442,-1553,1608
58830,7998,489,-5932,-136,-7368,-305
58840,13290,687,1179,675,-8189,-5392
58850,21939,3320,-8627,-2887,10251,5157
58860,10791,906,-5329,1069,5108,2014
58870,16715,3200,-6460,131,3975,2075
58880,15466,3473,-7102,-1215,2094,-774
58890,16437,3721,-5536,-2056,-4665,-1843
58900,15480,4082,-4340,1267,-3359,-2108
58910,15916,4138,-5929,1339,-3122,-1240
58920,16640,3915,-6100,-1272,213,-986
58930,14736,3593,-3586,-4445,2410,-323
58940,16839,2805,-2882,-3741,8819,3271
58950,24548,1677,-1273,-2744,9350,2546
58960,14933,931,760,565,3869,-4667
58970,13946,969,517,1815,230,-4608
58980,15997,1377,-719,2166,715,-2928
58990,16047,1096,-1932,2111,2592,-922
59000,17032,54,-3308,99,6817,736
59010,12943,83,317,2807,5291,-1715
59020,12882,2797,-4293,4873,-6199,-2743
59030,15536,4343,-5519,2047,-8590,-1999
59040,14735,1539,-4535,-5252,2857,4092
59050,8834,-1222,-3922,-5038,817,6783
59060,12134,1150,-2316,2063,-12556,3744
59070,13819,2717,-755,-443,-10388,5494
59080,32717,25377,-1070,-2499,-11493,-993
59090,32750,23730,-7026,-14737,14582,-11901
59100,6573,863,-16,-10395,14962,-30064
59110,1074,-5757,-2647,4292,-22053,-23961
59120,6118,-3381,-11475,8522,11639,-1924
59130,4729,-4196,-6178,1477,7776,1890
59140,3863,-5477,-7000,8394,5904,-2743
59150,5662,-4253,-9178,5416,-5589,-2695
59160,15468,3762,-13449,5462,3216,3150
59170,12231,12024,-4878,-1346,-6447,7932
59180,19297,11227,-1514,13330,-17156,16759
59190,16600,14206,-7628,28010,-16071,8175
59200,27115,25249,-13837,8932,5361,11007
59210,17070,16632,-7204,-13800,10802,526
59220,23850,14042,-7295,-18991,-1586,-12789
59230,23058,11270,-12041,-21185,13326,-12873
59240,14579,4644,-12064,-13658,12066,-8536
59250,5508,-6201,-8119,-751,2240,143
59260,2595,-14405,-5994,6952,-2493,2274
59270,-1297,-10923,-3597,16380,764,8084
59280,8365,-2382,-10583,18791,-1922,12062
59290,10753,2706,-6183,6906,-4783,4994
59300,24862,10582,-10079,8860,-835,8808
59310,18719,16833,-7767,6167,-11667,4219
59320,32750,22669,-22476,10343,2498,6835
59330,22141,17527,-13593,-7784,-8292,-5016
59340,23398,10572,-7238,-14044,6019,127
59350,9168,1848,-5376,-15592,14819,-2423
59360,12385,-3184,-5070,-16178,8791,-5404
59370,9051,-7185,-12084,-19796,8082,-18564
59380,6554,-6173,-11714,-18459,4740,-11021
59390,3158,-9205,-5845,-1651,4725,605
59400,5597,-3403,-5689,21515,-19506,6991
59410,12554,-1240,-13240,31928,-9596,14849
59420,17941,-6577,-18571,32764,-9737,20637
59430,19135,7714,-16524,15315,-1415,15494
59440,17739,11294,-3838,743,-8980,9448
59450,27422,19118,-5714,-306,3887,1671
59460,26936,14601,-16539,-8738,6774,3072
59470,32750,9114,-16972,-18686,10342,4914
59480,23448,4504,-19907,-14599,20160,-11049
59490,22705,-4609,-10567,-16712,-13850,-18325
59500,8176,-10361,-6329,-15411,6073,-22792
59510,2596,-10261,-10970,-14713,7206,-20134
59520,4942,-7680,-5475,-21965,3524,-5941
59530,1831,-8463,-3340,-2968,1806,494
59540,6034,-925,-5307,17193,-13303,9655
59550,28164,-5142,-19858,32764,349,21127
59560,21916,2055,-16521,29034,-782,16848
59570,21154,14230,-10833,19041,-10935,8343
59580,9300,14176,-9701,10756,12047,6047
59590,14543,21368,-14509,-613,-3118,1561
59600,32750,22010,-22818,-18589,-1670,-7801
59610,30668,4146,-15414,-32764,22095,-20797
59620,23279,5213,-8308,-12743,2801,-17218
59630,5608,2147,-9720,-10814,14126,-14430
59640,6010,-5823,-3288,-12441,-7380,-6838
59650,4184,-6250,-4093,-7914,6885,-7824
59660,2004,-6284,-4218,-14216,3673,-2962
59670,9342,-6193,-493,-11343,743,1964
59680,6829,-654,-2662,4924,16989,9072
59690,9390,4051,-1308,15620,-17353,14712
59700,32080,12856,-11422,32752,-12271,25652
59710,23254,11962,-11981,32545,-3252,19874
59720,16640,16115,-9457,12464,-13964,6233
59730,10712,18497,-2769,-4902,-12418,-110
59740,32175,21943,-8840,-17723,9120,-1382
59750,32750,12642,-8706,-28726,11113,-15603
59760,22427,12970,-3092,-25476,15004,-22544
59770,19357,3971,-6072,-4156,11378,-10313
59780,8236,-2085,-8390,-1620,1733,-14662
59790,3519,-8409,-2573,-6741,-13243,-13671
59800,2373,-9010,-1180,-3655,-2758,-9591
59810,339,-853,992,-8594,13294,-3010
59820,6649,4128,1965,-2356,6360,6122
59830,9409,11264,1073,2195,7187,14299
59840,9857,9598,1704,26213,-32762,20499
59850,20450,1091,-17868,32764,-11568,24535
59860,25661,6275,-18825,32676,-12916,24534
59870,15675,14391,-8067,15916,-3859,7949
59880,16360,10891,-4876,750,4673,6008
59890,29396,10046,-6420,-5120,8694,-2299
59900,32750,10346,-19795,-11002,17999,-13743
59910,24823,5431,-8735,-10508,2152,-23752
59920,7958,4542,-10263,-3372,-11007,-24830
59930,8846,-398,-7063,-8176,-7583,-7813
59940,6187,-4644,-6786,-9073,12791,-1359
