t_ms,ax,ay,az,gx,gy,gz
7570,-525,-6827,18628,-11587,14968
79440,18821,-6186,-10903,17871,5605,17723
79450,11405,-12436,-7661,17662,-3545,31102
79460,24475,-9303,-7269,11667,8505,23271
79470,32750,-4223,-6284,12891,-3491,15877
79480,25751,2423,-8560,8443,-412,7912
79490,30620,2518,-6237,3784,-3394,-2383
79500,23689,2970,-6951,105,-5508,-6139
79510,26016,1757,-6538,-7559,-5471,-9976
79520,19037,-5897,-2734,-11303,-1088,-15750
79530,15459,-10477,-2164,-11720,-1750,-18404
79540,9731,-11838,-3066,-9950,-837,-16430
79550,6846,-9190,-2555,-8131,5511,-10200
79560,5916,-12194,-5420,-1447,1059,1799
79570,18580,-12710,-7095,1366,-3144,14149
79580,11412,-10877,-3898,2277,5124,16471
79590,20910,-6811,-6360,9482,-6838,17308
79600,23267,1873,-8119,7531,-3397,10487
79610,20328,8986,-6169,5000,-3663,4542
79620,29192,13020,-8119,2424,-7535,-2800
79630,21995,4748,-8646,-6324,1910,-14843
79640,17821,-3508,-7176,-11300,-148,-12564
79650,13554,-13123,-1512,-11283,4712,-12176
79660,-1803,-13872,188,-5415,1303,-6467
79670,530,-11569,-776,-3595,643,3550
79680,13701,-13672,-1887,670,4155,11658
79690,27687,-13787,-7987,11634,-3935,15550
79700,28211,375,-16879,8529,-1629,15130
79710,30863,8705,-9501,-1637,1141,7424
79720,26262,9556,-4561,-4365,-1034,-6813
79730,21821,-717,-2987,-7701,5824,-18020
79740,14645,-8643,-5139,-6782,6397,-20165
79750,5914,-20785,1218,-4757,10123,-14345
79760,-238,-10378,-3661,4502,-10328,7115
79770,11394,-8823,5250,228,-4519,15559
79780,13250,-4855,-2148,8224,-2542,15324
79790,22743,2767,-7392,4613,-1819,11619
79800,21282,8028,-6002,-3428,1123,3493
79810,31779,9963,-9205,-7716,3094,-1814
79820,32598,-467,-9235,-6652,6140,-11505
79830,25939,-9909,-9282,-1531,-468,-14341
79840,9895,-13707,-3666,-1637,1418,-12058
79850,1985,-12146,-1256,-540,26,-6709
79860,1006,-9755,3162,-279,-840,-1227
79870,2212,-9192,4321,6460,5046,3781
79880,14121,-7032,-1377,12489,-815,12442
79890,32750,-3877,-4229,13355,1971,11870
79900,32750,3493,-10623,13794,-7198,7355
79910,30845,6022,-3369,4276,-6828,-2752
79920,15482,2259,2131,2179,2267,-11068
79930,15714,-545,669,4196,-1154,-14674
79940,17807,-2421,-2309,3483,-2386,-19375
79950,13465,-3954,-2003,682,4455,-21533
79960,6866,-5978,-582,1439,15201,-14045
79970,3242,-10989,-2622,9367,9599,1390
79980,13307,-6260,-7550,16173,-7723,13511
79990,17527,-4638,-6557,12366,530,18316
80000,22174,-2500,-5036,10795,2545,13873
80010,19003,1308,-4951,10580,-1700,4971
80020,18056,2515,-1982,8394,-2113,379
80030,24236,1680,-72,11127,-19883,-5557
80040,29170,-3556,-1857,13361,-15254,-18458
80050,11770,-786,-8818,29944,-3050,-27680
80060,9220,8341,-13093,11333,-5368,-10100
80070,14611,3866,-2669,-6969,12963,128
80080,936,-1205,-2192,4201,19160,-3189
80090,-2647,-7871,-3361,10051,-4803,385
80100,6464,-10118,-6693,13397,-7316,6258
80110,23036,-11380,-13302,17047,2975,13774
80120,32750,-2529,-23939,18936,-11215,11317
80130,32693,6351,-12868,5432,-324,-1995
80140,19947,4328,-5227,3655,6241,-10039
80150,19781,1728,-4872,4290,-402,-17330
80160,12861,-5860,-3476,245,8355,-25776
80170,4360,-14112,-964,4215,13808,-24954
80180,-4510,-9907,-499,13210,15004,-11777
80190,4369,1045,-6358,13470,7277,18276
80200,32746,6453,-6236,7720,-892,19942
80210,28932,11423,-3206,2920,1730,10177
80220,18423,11975,1505,1379,-2921,-2541
80230,16058,9092,1025,-1315,-4113,-8209
80240,18602,6976,791,-5352,2456,-12934
80250,22546,4538,-577,-3670,7256,-14206
80260,22050,-753,-2713,-94,6346,-10674
80270,15254,-2803,-3463,8369,-1817,-7393
80280,6830,1259,-2748,4813,1536,-674
80290,5094,958,-363,3175,1700,5077
80300,8328,675,-76,3472,1357,6773
80310,10407,681,-1223,4081,5599,5213
80320,10625,2753,205,3978,8035,6381
80330,22429,5516,-36,5264,4257,10484
80340,29821,8566,-2632,6950,-3872,8334
80350,28880,12051,-4776,1042,-10056,4212
80360,23351,8416,1218,-7853,-3202,-1447
80370,12971,4893,3224,-7089,-619,-7537
80380,15806,4212,2431,-6300,-1878,-10805
80390,16961,4556,319,-5978,381,-14145
80400,14114,3371,-1178,-4576,7258,-13471
80410,8495,370,-1275,-496,5974,-5288
80420,13750,-979,-4367,6254,-4990,3932
80430,7306,678,-3277,5381,-1969,8307
80440,9462,-1874,-2009,4553,-1048,12822
80450,19730,-202,-2555,4957,-3893,9534
80460,15279,-913,-647,2524,3963,5230
80470,19094,1245,-3004,4257,-2454,5660
80480,24733,4116,1707,2203,4399,5507
80490,18928,7370,29,6678,-445,6274
80500,28695,11096,-6081,7878,-10635,6101
80510,23273,12047,-6793,-573,-4426,-1454
80520,12179,7121,-3328,-8377,-2816,-7555
80530,10456,2881,-1063,-12532,-240,-10389
80540,15251,3583,-1073,-11673,695,-11141
80550,21938,-576,-6083,-5774,7242,-9549
80560,22125,-6524,-3752,1159,1675,-3954
80570,8564,-2656,-3450,4671,-1558,846
80580,7403,-1806,396,1222,2684,9696
80590,12061,-1013,-523,4472,394,10390
80600,16586,732,-2047,6248,1376,6089
80610,16844,3573,-1951,5854,6346,3345
80620,24199,8717,-2496,7402,-653,2313
80630,20449,12073,-3593,8435,-1148,649
80640,22349,13918,-6627,2043,-6212,2867
80650,21922,10695,-4770,-9249,-3500,-818
80660,14349,6352,-225,-14383,2036,-6531
80670,13873,3307,-1543,-11633,-2659,-12034
80680,11099,1926,-1959,-11377,3692,-14214
80690,12709,-5777,11,-4359,9994,-5894
80700,14865,-7089,-2432,8098,-7707,3116
80710,12678,-97,-3283,8168,-5651,10694
80720,12492,-2309,712,4423,-55,18002
80730,19940,-675,-746,8948,-1861,15431
80740,19326,2548,-2510,8254,1064,8947
80750,17529,5275,-2274,7642,2732,5561
80760,25332,9906,-6388,9189,-249,666
80770,26186,12045,-10304,6190,-2789,-3202
80780,27160,11344,-12563,-1513,-7000,-5070
80790,19260,2793,-7447,-15980,-7308,-7199
80800,13109,-2455,729,-23726,2087,-7714
80810,12753,-1949,1110,-19227,1467,-9947
80820,14231,761,-1056,-12305,3502,-11547
80830,11563,-2568,-3225,-4537,4523,-8437
80840,12277,-4357,-3801,5507,-3255,3443
80850,11520,-846,-5138,7007,-4942,9133
80860,10212,-616,796,3743,1168,13960
80870,14785,-1557,129,7731,307,12581
80880,17929,1842,-1315,8334,1253,7222
80890,20539,8223,-3852,10675,1105,7095
80900,28193,13359,-6993,9720,-4883,781
80910,26842,13925,-12705,6240,-5462,294
80920,24190,10318,-10544,-8932,-8315,-3178
80930,14712,2883,-1049,-21272,6081,-7079
80940,15222,1097,-982,-15153,-579,-12905
80950,18814,2340,-1620,-12872,2861,-16812
80960,14988,-953,-5142,-3895,7242,-18888
80970,9696,-3739,-6447,2961,-2320,-9986
80980,6937,-1351,-4585,2508,575,5009
80990,5347,-1967,350,-1021,2688,16460
81000,12213,-3844,1096,3764,923,18522
81010,15956,-2068,-2766,7967,474,16349
81020,20082,3502,-3887,6248,837,12025
81030,25755,9561,-3366,7071,-349,8277
81040,28184,14067,-4232,7324,-2337,1746
81050,27040,16065,-7107,4120,-4809,-417
81060,24902,11870,-7792,-7446,-6517,-5834
81070,16724,4396,967,-19462,4911,-9218
81080,15562,2433,215,-15037,333,-15373
81090,15480,-1364,-806,-12903,8136,-18433
81100,9944,-13270,-4896,2676,3564,-9166
81110,9087,-15299,-6821,12628,-7377,3775
81120,5908,-5718,-3632,4116,-919,18270
81130,16142,-3607,365,3612,3158,20481
81140,21151,4017,-1426,5323,1725,14640
81150,29499,13268,-4374,3330,4514,15894
81160,29800,17657,-4540,5605,-8680,2191
81170,28075,17319,-8347,2158,-11915,-3225
81180,24554,9221,-5028,-12639,-3570,-10048
81190,17181,-1289,961,-19085,6749,-14740
81200,16392,-3085,-2620,-13724,2981,-18740
81210,13375,-9610,-1098,-8835,9796,-15390
81220,6978,-12591,-5642,8405,-1099,-4408
81230,7325,-6430,-7537,10018,-1289,12261
81240,15619,-2014,-4213,3836,-1471,21026
81250,23168,1118,-1643,3623,2224,16670
81260,18329,5524,-2976,5496,-3220,9656
81270,16985,10026,-5223,4593,377,7485
81280,31133,14356,-7640,3352,-7999,-794
81290,26164,11462,-7305,-329,-5659,-5639
81300,26473,4577,-6703,-10337,-9065,-8188
81310,17473,-1838,4641,-21618,9199,-11595
81320,6140,-3062,3320,-9159,937,-12983
81330,6371,-4534,575,-5114,4101,-9852
81340,7958,-9144,-4178,3263,4728,1065
81350,15733,-7246,-7809,11174,-2927,9876
81360,20461,-1931,-8250,7434,230,16807
81370,26381,2210,-2390,3695,355,16089
81380,23085,6167,-2295,5956,-259,8364
81390,17493,7772,-3571,4952,-433,1869
81400,21582,11583,-5170,2610,-2753,-3004
81410,24707,10904,-4353,-2719,2021,-12386
81420,16743,7422,-1946,-2097,2845,-16083
81430,17151,-810,-2946,-1148,-6475,-10748
81440,8613,-5778,-1749,-7222,-873,-6933
81450,4051,-7488,-158,-6807,-408,-1747
81460,6338,-6490,-1237,-3310,-1595,3513
81470,16373,-3837,-4152,1631,42,11542
81480,28457,1423,-6495,5597,-3040,15917
81490,30779,9891,-7435,5993,-4421,10759
81500,23132,13884,-5290,2334,-1996,4294
81510,20221,9855,-3309,-2285,215,-4909
81520,13024,978,-960,-6919,9360,-12025
81530,9016,-3847,1012,-1938,4501,-11084
81540,8784,-7366,1489,5090,-2873,-3538
81550,7069,-4983,-1934,14697,-19556,3361
81560,9775,-1072,-12051,24048,-32764,7778
81570,15079,7470,-28189,22185,-32764,-1890
81580,4314,5339,-21443,-1632,2166,-2231
81590,-2760,4623,-15515,-8866,-679,2676
81600,53,3145,-18584,-12257,21738,4522
81610,2389,-5205,-21270,-10877,22646,1032
81620,1734,-7344,-20218,-4773,13901,-1409
81630,3730,-3806,-12359,-723,3172,2631
81640,8900,438,-8032,1654,15792,11083
81650,11262,1805,-8407,1662,18658,11279
81660,11970,1314,-6530,2900,14267,7802
81670,12262,1898,-6647,69,5846,3632
81680,15821,1567,-7425,2086,-3194,2004
81690,17453,1119,-14648,9648,-31424,-4095
81700,11479,-166,-24153,12622,-32764,-8225
81710,8166,-1663,-21546,4505,-32145,-1468
81720,4524,-1147,-14098,-6807,-3699,5142
81730,4133,200,-10102,-6555,-4774,2860
81740,89,566,-12262,-5878,-4675,1590
81750,-120,1054,-12368,-7821,-2636,2340
81760,-1617,-1775,-17420,-3819,6395,-998
