t_ms,ax,ay,az,gx,gy,gz
ʒbj
63930,20590,5630,-8503,18738,-6269,5544
63940,15810,7453,-7208,5183,9038,-6788
63950,29717,8543,-12206,-3382,2838,-9343
63960,24755,5725,-9948,-13193,20139,-14701
63970,13246,6944,-4921,-10785,1120,-20466
63980,9760,5743,-5197,-3438,-7510,-11835
63990,4804,92,-1722,-4639,-9404,-5456
64000,2999,-4724,904,-4238,-1725,6972
64010,5143,-5861,-2555,3216,2075,10106
64020,11416,-4012,-7287,-3375,5021,5514
64030,14128,4314,-8989,-1126,-15119,-4332
64040,22050,12658,-11562,4931,1306,9567
64050,27885,9498,-5417,10870,-11482,11404
64060,32718,16002,-12932,15324,9835,13314
64070,20746,14347,-3850,4685,-15099,-8208
64080,9704,5773,-3003,-1518,5546,-10650
64090,7065,2468,-6345,-6357,16927,-7923
64100,14436,-431,-9690,-13192,15189,-11240
64110,13585,-3410,-6454,-13667,4162,-10106
64120,9069,-831,-4557,-4955,-5353,-5345
64130,8518,1389,-2985,6914,-18321,5723
64140,17881,1960,-8641,14765,-393,15302
64150,12380,1308,-6550,11671,-6225,12482
64160,17445,6542,-6405,9351,2889,5969
64170,9994,8008,-4823,-3014,-4385,-531
64180,18026,17089,-7553,-7191,-2425,-6151
64190,30613,16669,-12168,-14127,8347,-2756
64200,30884,12573,-7312,-7680,6025,-4456
64210,27185,9648,-13966,1781,10478,-7348
64220,7237,2339,-6929,1472,-6021,-13576
64230,3135,-1061,-3012,-3258,-5925,-9944
64240,-652,-2714,-4956,-7730,2588,-93
64250,6669,-2056,-3291,-9154,-4196,-1410
64260,2983,-6201,554,-12665,16198,3033
64270,4474,1190,1570,-768,2883,10959
64280,11017,8278,-1754,8141,-26590,10250
64290,26016,6206,-15205,31314,-2764,13329
64300,16099,3101,-10622,9127,-4004,24370
64310,27147,4980,-4781,5319,-3397,12878
64320,15079,5892,-3707,2010,-573,4935
64330,15797,3342,-4238,-6321,5422,834
64340,23489,6093,-12357,-15978,10944,-4024
64350,32750,12797,-27086,-14001,-919,-15101
64360,15540,53,-3462,-19294,18137,-11202
64370,56,-2951,3673,2433,7890,-15248
64380,-4455,-3395,1235,15088,-12054,-16570
64390,6715,-4279,-7819,13660,844,-4064
64400,2900,-7399,-7689,-6050,19052,4718
64410,4182,-7093,-6416,-3897,1280,7343
64420,16392,1181,-11338,8004,-13157,3853
64430,21195,13916,-9029,12176,-23444,2563
64440,32750,15263,-20120,17410,10149,20072
64450,23608,9407,-986,-6225,-12251,1067
64460,15685,7278,1078,2165,-10270,-6206
64470,8839,4331,-6431,-556,53,-4424
64480,6716,2062,-7543,-15020,5581,-2580
64490,18527,13368,-12453,-21195,6763,-5412
64500,29418,18604,-25880,-20814,11374,-12074
64510,2072,4237,-4573,-23585,4752,-7880
64520,4325,-714,-160,927,-1512,2851
64530,2651,-2917,-5280,16261,2929,4645
64540,2556,-3930,-4728,12098,4822,11753
64550,9190,-3280,-5267,5612,2015,13141
64560,12651,-3050,-4605,-887,820,6081
64570,16927,2300,-4428,4945,-15707,-61
64580,20160,14349,-10320,12179,-24994,-5936
64590,32743,16271,-18471,15400,-11032,3496
64600,21983,11446,-7883,-2478,20177,17738
64610,22689,6460,-1974,3453,6587,3482
64620,16116,3453,-7271,936,9937,-6324
64630,17333,-5,-7368,-10624,6931,-12365
64640,11575,-964,-7222,-10917,9666,-20855
64650,6582,1239,-13804,-12912,3804,-21392
64660,6559,-733,-5186,-7700,-862,-1255
64670,5758,2221,-7783,13800,5241,8178
64680,6176,80,-9498,22583,-10961,8264
64690,14638,-85,-10698,23571,-4201,14827
64700,10878,370,-7989,11675,-1235,13102
64710,14121,2636,-4816,3589,-2491,10533
64720,16345,8909,-4220,-1584,-10565,6496
64730,29846,16019,-8891,-1619,-2175,8804
64740,32750,13602,-10717,-8968,4257,5027
64750,32750,3186,-11295,-14708,25151,-960
64760,21257,-3631,-3206,-13613,13282,-14808
64770,10268,-5308,-4626,-5008,7132,-19519
64780,5748,-6460,-8853,-6499,8373,-17239
64790,3641,-4378,-7467,-16485,9523,-13795
64800,8095,650,-1844,-15852,4394,-7398
64810,4273,3250,-394,-3890,4846,900
64820,4305,2077,-758,7051,-10998,7160
64830,9525,-410,-5045,20458,-20129,10302
64840,18982,-1156,-13387,30713,-6131,15714
64850,17409,1359,-9729,14240,-10421,12920
