t_ms,ax,ay,az,gx,gy,gz
32764,-3032,-22290,13490,-32764
73690,21890,-28715,-3122,-14657,21724,-32764
73700,15353,-21662,-1981,-6645,12625,-31695
73710,9368,-15955,-990,-1672,13889,-25807
73720,3262,-10222,-676,2012,10971,-19307
73730,-230,-6583,71,2040,5646,-12849
73740,-2529,-5084,696,503,2479,-4599
73750,-3611,-3926,1548,-3448,1926,8273
73760,-2016,-9437,2211,-6900,502,20309
73770,4557,-16135,3137,-10462,954,32680
73780,13932,-28913,7751,-10983,4632,32764
73790,15884,-32764,5679,-7243,-365,32764
73800,22761,-32764,5492,-4079,-24433,32764
73810,26638,-32764,4905,4625,-29451,31067
73820,23377,-25661,2967,11277,-21053,24780
73830,21832,-16813,776,12826,-19375,19104
73840,20216,-10514,1168,11449,-13775,10587
73850,20881,-2381,-2053,7519,-6481,4076
73860,20457,-569,-2554,-1473,-902,-4688
73870,22436,-3699,-2209,-7806,-7434,-13290
73880,26515,-10975,-3270,-16945,1599,-21764
73890,30608,-21831,-3609,-24046,10433,-30282
73900,32628,-32054,-3048,-25977,17446,-32764
73910,29318,-32680,-1800,-20495,26999,-32764
73920,22391,-27142,-839,-11457,28164,-32764
73930,16042,-19585,326,-3097,28888,-27360
73940,7776,-13960,517,3213,26340,-20541
73950,1634,-9537,20,5854,16985,-15157
73960,-2345,-6500,-173,4302,8041,-10051
73970,-6175,-5448,-146,-920,2819,-1457
73980,-7542,-6955,1284,-6530,-3992,8137
73990,-4261,-11315,928,-9090,-9366,19860
74000,10351,-21488,3296,-11655,-16901,31799
74010,21922,-28561,7073,-11713,-15335,32764
74020,28028,-31954,8965,-7375,-29090,32764
74030,32574,-28478,10335,-1343,-24813,32764
74040,30271,-22344,9702,3350,-18317,31828
74050,26394,-11713,6527,8393,-20056,24520
74060,25821,-1221,4415,9162,-13078,15416
74070,24976,4195,2930,5097,-4377,5182
74080,23550,1614,3906,-1055,292,-6999
74090,25246,-5593,5761,-4838,4159,-19248
74100,27657,-12858,6072,-6678,4898,-28167
74110,32750,-23699,6676,-10827,9823,-32764
74120,30865,-29020,5344,-8664,19305,-32764
74130,25903,-26742,5949,-6649,24739,-32764
74140,19316,-20943,4148,-160,26545,-32160
74150,11380,-15851,4056,3604,27852,-23138
74160,3878,-10944,2592,7272,21677,-15418
74170,-1230,-7709,1950,8343,11614,-10022
74180,-4446,-4473,31,5882,1652,-3566
74190,-7718,-3526,-125,-389,-3579,2837
74200,-7621,-6969,514,-6315,-11459,14017
74210,3377,-16032,948,-12546,-17799,29669
74220,15898,-23763,6630,-15884,-18557,32764
74230,21714,-29935,8560,-12313,-24726,32764
74240,29673,-32093,10534,-7524,-25042,32764
74250,32722,-27641,11008,-2237,-20088,32764
74260,27572,-17425,8675,3336,-17149,28580
74270,26134,-7678,6906,5543,-15579,22103
74280,26551,1088,6450,3219,-4583,11091
74290,24876,1964,5917,-159,2514,-1957
74300,22648,-4701,6041,-2044,4073,-15930
74310,25451,-11722,5726,-2766,6636,-24393
74320,30588,-20314,5929,-4786,8686,-32143
74330,32750,-28091,6645,-6646,9993,-32764
74340,30902,-30584,6518,-3880,8237,-32764
74350,22566,-25251,4945,1832,-5519,-32764
74360,17609,-18740,1640,3039,4823,-32764
74370,9089,-12702,-1003,3993,10789,-26300
74380,1498,-7685,773,1514,5191,-17785
74390,533,-4951,2462,2586,-17743,-12907
74400,-229,-3675,5284,2012,-14337,-8429
74410,-2460,-3655,5796,2262,1038,5945
74420,-2259,-7602,2775,4996,7621,19149
74430,1190,-14292,-970,3333,3598,32694
74440,24565,-26755,447,1895,-1733,32764
74450,26534,-32764,-870,-4291,6901,32764
74460,32750,-32764,3091,-21402,16485,32764
74470,32707,-32764,11904,-32743,14223,32764
74480,24776,-24915,11292,-7830,-32491,9262
74490,25870,-8642,12291,-1513,-22504,6029
74500,20863,-4033,10412,910,3492,3755
74510,21813,-7829,11057,2412,4918,-7444
74520,25523,-13644,7821,6098,17359,-15082
74530,28393,-27718,7186,7222,21256,-28816
74540,27728,-32764,5478,13459,25812,-32764
74550,22121,-32764,4560,15242,17854,-32764
74560,20036,-29310,5205,13479,19989,-32764
74570,9760,-20640,3421,15245,23405,-28165
74580,4347,-12643,2826,15606,15635,-18680
74590,435,-8486,1631,15327,7765,-12821
74600,-3818,-4444,-357,13827,-4165,-7712
74610,-4714,-2729,-1300,8778,-9647,-879
74620,-6158,-3236,-740,-549,-10103,11391
74630,-4882,-10781,-312,-5135,-12816,23468
74640,17732,-26743,4764,-9042,-15618,32764
74650,25875,-31340,7750,-7044,-10134,32764
74660,31532,-31785,7072,-847,-21708,32764
74670,32750,-28325,6313,3523,-15308,32764
74680,32701,-21962,4963,13360,-15805,30675
74690,25643,-12952,1579,18039,-14240,23213
74700,24440,-6216,-294,18116,-12580,16727
74710,22398,808,-3261,14588,-8040,7155
74720,22786,3806,-5008,4753,-3916,-1153
74730,23494,-2571,-2040,-8336,-2292,-12319
74740,26676,-8991,-2775,-14498,-240,-19258
74750,28889,-17998,-2844,-24329,2906,-27165
74760,30210,-24244,-2256,-27643,1490,-32601
74770,32210,-25388,-334,-24041,3280,-32756
74780,29493,-23577,-2844,-13813,5293,-32764
74790,22178,-20284,-2397,-8957,6188,-32764
