t_ms,ax,ay,az,gx,gy,gz
50800,21682,-3893,-6752,16861,-5406,18323
50810,24090,603,-9599,17688,-5032,19452
50820,23827,8602,-9348,16697,-849,14144
50830,23493,21860,-8985,7664,-2107,7670
50840,21073,21954,-9735,-5188,2310,-2915
50850,22937,10157,-10572,-14296,1934,-15143
50860,26384,2025,-9994,-17574,-618,-20287
50870,21233,-4310,-6166,-17422,3301,-19065
50880,13031,-11521,-1885,-11187,1321,-13224
50890,2704,-14980,2971,-7207,3194,-894
50900,3392,-13798,4895,2292,1603,10209
50910,14476,-11180,-1727,14756,-3592,19716
50920,28631,-5407,-7817,18114,-2868,22805
50930,28854,678,-9096,21868,-9348,18673
50940,26492,8758,-9219,17294,250,13309
50950,21912,16342,-11054,11595,-2152,7377
50960,19107,17454,-12616,-4006,967,-5421
50970,18883,9135,-9954,-16928,3206,-11172
50980,27701,2366,-9962,-17682,-6120,-19999
50990,28233,-2101,-8623,-22118,-3885,-21379
51000,21497,-5771,-7033,-18655,-3862,-20323
51010,13324,-8817,-3679,-15547,1073,-13455
51020,4084,-10281,-248,-10693,10579,-3125
51030,-626,-8990,1928,-2694,8838,9241
51040,4700,-11159,-206,7688,-5512,18504
51050,21521,-13129,-4120,16246,-12046,22538
51060,32750,-9451,-10874,23769,-9128,21453
51070,30668,-258,-11243,21436,-4545,18473
51080,25431,8942,-13598,21487,-5577,13376
51090,22183,22054,-13561,12325,-632,5316
51100,18770,22476,-14366,-8226,2578,-8703
51110,30281,9228,-16242,-18850,-2186,-16906
51120,32750,-1732,-17378,-27263,-702,-26406
51130,29737,-9512,-9739,-25640,7074,-27169
51140,14379,-16794,-4404,-19625,9430,-21121
51150,213,-17809,901,-11119,8700,-7407
51160,-4039,-18146,6501,-4808,7332,7571
51170,7994,-16819,2715,10807,-4611,21556
51180,26152,-12606,-5628,19281,-9556,27661
51190,32750,-4519,-11419,27648,-16369,24594
51200,32750,16338,-15562,25258,-8901,22175
51210,24913,25474,-15777,6689,467,6017
51220,21511,21393,-14513,-10660,1852,-10182
51230,18043,4984,-8839,-23379,4295,-16434
51240,31389,-1337,-10243,-15967,-4428,-24972
51250,26938,-3947,-8459,-18315,1276,-24116
51260,19511,-6843,-1563,-14595,4013,-20601
51270,8296,-8575,1373,-4589,5941,-12492
51280,75,-9621,3737,-1900,8058,-3159
51290,-65,-8872,3181,1933,-4,11717
51300,11555,-9087,873,9507,-7457,19369
51310,25729,-8514,-7844,17243,-11187,25343
51320,31925,-1695,-12667,22617,-5798,24473
51330,30764,5668,-14675,18293,-2838,21048
51340,22207,14252,-11014,11945,238,11062
51350,20390,21860,-13918,1219,2172,213
51360,21496,13874,-13649,-14652,2712,-10408
51370,30521,3515,-12082,-22038,-3407,-23034
51380,31607,-4075,-10669,-23531,4205,-26491
51390,20525,-9096,-3540,-18883,6957,-23188
51400,9242,-10858,-995,-9331,8679,-18326
51410,-1532,-11776,2550,-1950,4819,-3694
51420,-2506,-14278,4140,2607,3808,10227
51430,12753,-13273,-2677,13088,-2709,23383
51440,29900,-8476,-10205,21257,-12047,23358
51450,32750,-1492,-14779,23650,-8994,21741
51460,29165,7291,-13792,19361,-406,16277
51470,21366,15688,-12794,16927,-3515,9515
51480,19179,22967,-11331,4274,4250,675
51490,16617,15120,-11532,-11821,7721,-13194
51500,32749,6543,-16339,-19703,-951,-21418
51510,32417,-2405,-12922,-24031,-3194,-29070
51520,20159,-7742,-4661,-21935,4540,-23677
51530,7789,-13934,803,-12910,3437,-13260
51540,1345,-16029,5793,-5232,4993,2062
51550,2428,-17487,5716,3432,1935,13434
51560,14905,-13358,-1842,16126,-6122,20568
51570,30619,-5485,-9546,21109,-12985,22485
51580,31448,2675,-14146,22634,-7652,20805
51590,26230,11705,-11732,17198,3860,15541
51600,23986,23972,-11802,7180,-1093,6999
51610,20434,19249,-10717,-10278,8482,-9034
51620,30888,6889,-13062,-14490,-3068,-21522
51630,32718,-1389,-12605,-19850,-2122,-30062
51640,21831,-7018,-4277,-19954,3235,-26229
51650,8139,-12784,218,-11452,46,-15571
51660,6659,-13385,2881,-7620,4252,-1070
51670,4016,-13368,3473,-82,5992,7313
51680,10029,-11762,1545,8411,-2965,16394
51690,24817,-3888,-6910,18334,-8264,22033
51700,30070,3179,-11763,23227,-10710,19698
51710,28371,13032,-14263,20083,-3803,15242
51720,21008,17616,-10732,9204,1290,5422
