t_ms,ax,ay,az,gx,gy,gz
58300,2973,-6334,690,-6180,5745,-11512
58310,-422,-4921,2232,-2408,1466,-4151
58320,-1439,-5008,2988,1095,-2066,5627
58330,3335,-9209,3029,6858,-6481,17497
58340,12279,-13505,-999,14843,-7857,25316
58350,22584,-18700,-5545,19915,-7218,29467
58360,30591,-19511,-8303,23080,-6135,30410
58370,31138,-16247,-9564,22989,-6454,27245
58380,29831,-11170,-8940,22293,-4897,23099
58390,26328,-4707,-8471,17590,-1190,16843
58400,23524,882,-8198,12504,232,10310
58410,22452,3113,-8991,5391,1316,2261
58420,20226,954,-8528,-5031,-516,-7825
58430,22618,-2884,-9157,-11836,-608,-12899
58440,26408,-8109,-11576,-19576,-1831,-18908
58450,32750,-12875,-13982,-26814,1954,-22459
58460,32750,-18781,-11337,-29658,1892,-30282
58470,27020,-21759,-8089,-25503,9273,-32702
58480,15046,-16861,-2829,-19867,7938,-27524
58490,8262,-11200,39,-11494,7044,-20617
58500,2525,-8136,1777,-6297,5728,-14024
58510,-1871,-6324,3290,-1889,2899,-6071
58520,-3722,-4913,3992,3322,-2053,6486
58530,-1060,-8146,3792,8929,-6625,17778
58540,12815,-14892,-1371,16937,-9658,29186
58550,26937,-19142,-6318,22475,-7234,31498
58560,31326,-20533,-9410,23702,-3637,32644
58570,32750,-18363,-10812,24974,352,29528
58580,30919,-12985,-9771,22749,-2486,23343
58590,27891,-6726,-8886,19860,-3244,17710
58600,22821,309,-8614,14474,-2797,9049
58610,21700,4303,-9466,7031,-2839,1430
58620,19905,2983,-10092,-4309,-2245,-6920
58630,21595,-1430,-10061,-13864,-1921,-11745
58640,23845,-7768,-10637,-22524,-1376,-17708
58650,28307,-13216,-9875,-29886,-49,-19260
58660,31456,-17441,-8539,-30053,818,-21567
58670,26494,-17137,-7398,-25279,9625,-23900
58680,19641,-14039,-5993,-17708,5970,-24335
58690,13017,-11151,-3173,-11958,6228,-21881
58700,6724,-8745,-603,-6303,6235,-17812
58710,-241,-7052,1813,-2661,3592,-9920
58720,-4322,-5609,4119,472,2254,1468
58730,-5080,-8621,5923,5240,-435,15184
58740,7663,-17930,94,17322,-9798,30891
58750,28076,-22067,-8016,25993,-11893,32562
58760,32750,-19932,-11957,25156,-4178,29298
58770,32750,-16128,-13179,27340,-5715,24474
58780,30013,-8661,-12045,24288,-3147,18574
58790,26046,-2499,-11608,20781,396,13958
58800,20959,5337,-12379,12377,-210,5957
58810,19333,8209,-14185,2064,-1299,-380
58820,20059,4325,-14758,-14934,-2532,-6561
58830,26967,-4607,-14265,-25432,-757,-13173
58840,32283,-13600,-15336,-31592,800,-18965
58850,32750,-19124,-14556,-32764,1840,-24644
58860,26466,-19917,-10172,-30488,11657,-25198
58870,17087,-15691,-5864,-22041,11664,-23437
58880,12072,-10277,-1643,-15417,11889,-18494
58890,6679,-7365,837,-7096,8786,-13959
58900,1494,-6415,1910,-279,4107,-7364
58910,-1949,-6498,2505,4562,341,1063
