t_ms,ax,ay,az,gx,gy,gz
5312,-5245,3474,-1644,-1011
64940,3743,-3437,-794,-2124,-1153,5525
64950,9572,99,247,-1068,1911,11657
64960,21899,1409,-540,4827,-3931,15258
64970,32373,1493,-2865,12246,-8610,18458
64980,29528,5964,-9084,16465,-12452,11355
64990,22826,6049,-5628,10827,-968,6333
65000,17379,7377,-2435,10599,-3413,-794
65010,20809,9408,279,5381,5421,-8915
65020,20459,6306,2145,4194,11949,-17069
65030,14146,2231,-2251,7058,10459,-17180
65040,12880,-1875,-2752,6145,8501,-12032
65050,3798,-4373,-4354,11715,1303,1181
65060,11176,938,-7313,8306,-10193,10197
65070,17037,3277,-3267,-51,-3509,11757
65080,15960,4345,206,-819,-6031,6766
65090,13762,6294,1276,-536,-1679,2762
65100,22144,10665,3253,1475,2527,693
65110,31735,8248,-786,8425,3109,-4280
65120,32727,5942,-6536,11874,1927,-11392
65130,18383,3621,-5689,10131,7807,-14225
65140,10511,-411,-4712,6547,3466,-12346
65150,6809,-4279,-4969,2506,10107,-11437
65160,610,-1403,-6847,-2022,8529,-8500
65170,3109,1164,-2290,-3526,2656,1273
65180,8049,5375,2687,-855,-3811,6966
65190,18218,2988,2173,5643,-10445,20916
65200,17970,6617,-3729,3698,-8984,19589
65210,24301,6525,-1280,-990,-7132,18840
65220,30010,15380,-4699,-2425,-7972,5159
65230,25015,12999,-3073,-10743,3695,-8339
65240,31339,7306,-3412,-9162,1954,-17320
65250,28910,1339,-6921,-6961,6613,-23319
65260,16018,-8714,-3955,-2469,12286,-17572
65270,1478,-10004,-6429,5297,1494,-6385
65280,-3378,-7946,-3604,2060,609,4727
65290,2274,-3643,1407,1026,-3652,13042
65300,8306,3378,5936,6449,521,11181
65310,18704,5103,-1251,15900,-5194,17979
65320,32750,11578,-14134,11942,-5459,14585
65330,30103,12731,-13870,3105,-7908,12834
65340,27372,10996,-1918,-9414,1243,2177
65350,12787,7851,155,-7268,3082,-4273
65360,12625,7065,-4371,-10953,748,-9774
65370,17025,6210,-10439,-17665,1125,-14137
65380,20287,5097,-9002,-20472,10135,-18507
65390,15992,4441,-10955,-14315,-2493,-19638
65400,7911,-3049,-4296,-9201,-1799,-6344
65410,-494,-1558,-511,-9192,-6286,7303
65420,3367,-3692,3445,-6079,-9263,15809
65430,13866,-1276,-154,-2233,-10253,17856
65440,17039,2979,-3140,-3711,-10208,13311
65450,26893,9620,-6519,-6779,-16638,10025
65460,32750,13582,-6514,-9626,-9184,2972
65470,28965,8547,-4890,-12991,-2834,-2255
65480,17548,3873,-2233,-17652,2445,-675
65490,11707,625,-349,-14897,1877,-2374
65500,4026,-2563,-1425,-9531,1217,-4586
65510,744,-5404,-3234,-6940,-2772,-2731
65520,1035,-4351,-2664,-5066,3750,4310
65530,16721,-1962,-9408,3197,-7433,15023
65540,30113,-1006,-11134,6175,-6311,17580
65550,26143,1133,-9341,501,-2736,16794
65560,29680,2430,-3937,-2889,-3061,11035
65570,18431,5977,-1671,-3035,-1247,581
65580,16992,7499,-2888,-4655,927,-7270
65590,18345,9684,-7631,-5065,1353,-10478
65600,27385,5566,-6699,-9775,139,-17181
65610,12430,-3153,-2419,-8213,8455,-13883
65620,9037,-6692,-3676,-4865,-8138,-1451
65630,2576,-5400,1311,-7288,3557,5669
65640,2848,-2631,851,-3311,-2602,10260
65650,14971,3993,-1732,-1796,-3175,9796
65660,31721,15162,-4519,-751,823,3013
65670,32750,13615,-12378,2002,-1340,-9010
65680,26082,3217,-7288,-4094,5851,-13731
65690,11116,-4901,-4099,-516,3471,-9162
65700,3375,-4619,-2208,-455,-830,-3019
65710,1775,-5213,633,-1286,2574,3451
65720,6023,-3875,1303,2891,1132,5800
65730,13319,143,-1487,6008,1949,8720
65740,21375,6534,-4142,7091,-3279,11984
65750,27139,10291,-4051,4463,1012,13140
65760,30774,12361,-7981,2972,-8374,10905
65770,20081,10951,-2906,-6823,-4489,1960
65780,12450,7289,-512,-10868,691,-4195
65790,17422,6264,-576,-10041,-941,-10457
65800,25177,4379,-2696,-9742,8720,-14736
65810,25486,-2458,-5195,-2354,10639,-16342
65820,16375,-11454,-7169,4604,-2177,-8933
65830,1089,-4961,-6968,4759,963,2017
65840,350,-4188,-1994,-3245,-883,15004
65850,8598,-5368,2381,1401,-1289,17471
65860,20680,4769,-2845,5894,-2728,16126
65870,32750,24800,1890,942,-334,6126
65880,32750,17478,4016,178,5095,-14157
65890,19138,986,-2685,5860,8676,-24943
65900,12964,-5013,-1863,5039,368,-17075
65910,10606,-3060,115,2780,-773,-9386
65920,6850,-2119,2872,-650,7327,-3964
65930,3574,-3304,1122,3639,2379,-1459
65940,6629,169,-3723,5972,1702,1042
65950,7326,2643,-4820,6676,6408,4722
65960,12753,398,-7165,11919,-1557,14236
65970,26250,-151,-11128,20635,-3104,16804
65980,31810,9358,-12085,17925,-9849,17314
65990,32750,14554,1018,8287,3263,-2184
66000,23745,5114,3779,10221,12341,-15207
66010,14434,-2465,-2903,13071,12767,-23101
66020,4830,-6561,-5758,13979,13495,-20474
66030,-4536,-6780,-2930,11716,8680,-6181
66040,3097,-1503,-5610,14988,-4437,16946
66050,18971,-313,-4550,9093,-3411,22790
66060,24669,1883,-4816,9530,-3557,17901
66070,31729,9836,-4096,5316,-2720,8353
66080,28227,12727,-1967,3191,-3648,-3776
66090,31314,10703,-3575,1447,3091,-14273
66100,28411,2547,-3839,806,9043,-21268
66110,16052,-4134,-3408,5176,9370,-17863
66120,7276,-4993,-5575,9800,2701,-11110
66130,-1950,-2409,-6988,5699,7004,-672
66140,1106,-3091,-3338,1273,3160,8502
66150,7466,-2250,-2318,2587,3667,10532
66160,14648,1066,448,5667,-847,9528
66170,21116,3322,-1375,8922,-3880,10649
66180,29205,4733,-3649,12146,-7632,9018
66190,28655,6305,-2741,9857,-5180,5115
66200,30961,6112,984,7255,-3235,-2058
66210,20669,3822,2462,7815,5233,-10313
66220,19651,1393,72,9868,3145,-15269
66230,16933,-1356,-2227,8062,6952,-20775
66240,11090,-1943,-2943,4969,16713,-22139
66250,2625,-395,-3652,6300,20088,-9210
66260,7798,-4082,-6581,13806,4460,5719
66270,14163,250,-10462,17252,1281,11261
66280,12004,1242,-9036,12193,241,17854
66290,18850,2596,-8272,11370,-1483,14738
66300,17151,4445,-5476,8034,-872,8935
66310,18490,7582,-2289,7353,-969,4899
66320,24948,8368,-291,9354,-3891,1894
66330,28162,9950,-2668,8922,-3359,-1134
66340,27595,10364,-3632,3902,-2776,-4064
66350,21763,7335,-420,-2740,1291,-7469
