t_ms,ax,ay,az,gx,gy,gz
3,1226,1815,3196
44040,29933,10236,-7474,-1567,7895,88
44050,25827,7151,-7137,-3102,5788,-8946
44060,16155,2051,-5064,-1191,640,-12384
44070,8307,-1391,-3837,-20,1230,-11298
44080,5795,-3711,-2767,2085,446,-5739
44090,8035,-3518,-3279,2417,7191,-1451
44100,7886,-3036,-3207,2254,3858,-721
44110,10780,3719,-4200,-275,-4826,2117
44120,16523,3380,-1334,-3390,-3643,10012
44130,23043,935,-3611,-1955,7683,20128
44140,24079,1026,-2823,-489,-1192,17900
44150,16263,1338,178,-3344,1657,13492
44160,17286,1173,1411,-674,-4877,8928
44170,14808,3590,-890,1850,-3620,2077
44180,27045,7884,-7275,-292,-10927,-4350
44190,30422,5124,-7934,-7095,-2354,-12608
44200,25014,-534,-7229,-4686,3326,-15310
44210,22413,-878,-6859,607,-695,-13231
44220,11853,-4650,-4750,2023,5827,-9822
44230,4952,-2391,-4342,4937,-1830,-9742
44240,5815,-3153,-4784,-1507,261,-5757
44250,6365,-4779,-2448,-6645,2257,-4826
44260,5995,-4194,-1173,-5284,4827,941
44270,9935,650,-2277,3977,-1769,8374
44280,19355,2236,-6483,11585,-14392,11227
44290,28487,4497,-10706,12379,159,14642
44300,16855,4630,-4936,3343,-8405,10469
44310,23575,5296,-3244,1070,-4658,12192
44320,10712,4505,-4975,-177,5032,-345
44330,17655,5384,-11884,-2279,-16272,-4117
44340,31143,2313,-15389,-12841,10327,-5933
44350,16575,424,-8478,-8358,11227,-9173
44360,17942,-4270,-2409,871,-2286,-7900
44370,19194,-2327,-11644,20249,10648,-7048
44380,3696,1455,-11278,6215,2756,-9856
44390,3048,-1009,-4325,-6352,-11792,-8692
44400,5139,-3025,360,-11960,2852,-1040
44410,9199,-2421,-130,-8344,13472,5566
44420,11359,1703,-4273,4951,1779,6585
44430,19402,2132,-6033,6874,-18215,9177
44440,25817,2661,-8124,7500,2841,15518
44450,17470,-752,-6560,5602,-8277,13289
44460,20822,2873,-8447,5662,-7862,9025
44470,12387,2033,-4254,-8064,-2909,6223
44480,23678,4711,-4215,-12345,-5764,1254
44490,28961,4691,-8585,-13716,11987,-1308
44500,29448,206,-9647,-7709,9128,-8428
44510,16598,672,-10632,5605,-2484,-17599
44520,8645,-1145,-7540,8505,-15041,-17798
44530,6151,-337,-6541,6457,1026,-10103
44540,973,688,-8128,-3667,7698,-7267
44550,8595,-554,-5307,-8515,-7249,-7130
44560,4173,-5483,-3769,-11367,11714,1489
44570,16304,-2112,-8347,8395,-1732,8088
44580,17348,2332,-7980,8505,-6522,11531
44590,27192,4973,-11160,16287,1690,13941
44600,14367,7724,-9179,9710,-8137,6644
44610,14136,6766,-5154,5755,-14311,2820
44620,9572,7192,-5710,900,-4733,530
44630,10077,7660,-9784,-2534,-4261,-101
44640,24804,11576,-21844,-13688,-4042,-878
44650,22799,4118,-14742,-19818,11630,-1868
44660,20211,-37,-13095,156,6470,-7330
44670,10153,-785,-11271,5869,22,-8993
44680,5791,-1193,-7379,600,861,-5723
44690,4593,-1405,-5605,-2459,6300,-2835
44700,6941,-3983,-5738,-6740,9564,-3190
44710,8186,-3302,-8692,-6480,4629,-1302
44720,6109,1121,-5079,-4104,-5794,3976
44730,17389,2777,-4867,5547,-13319,8467
44740,18875,3621,-8306,16835,5547,15151
44750,24562,2539,-12046,21923,2168,16440
44760,14863,6592,-10769,6913,-29196,1936
44770,17927,1901,-5423,-10585,-9591,-1701
44780,7438,2880,-8990,-6334,2022,-3044
44790,17881,7150,-20354,-11665,11304,-1159
44800,22693,4924,-18022,-12611,-757,-3973
44810,15901,839,-17055,649,-6958,-9501
44820,9721,1658,-12476,3197,-498,-7556
44830,1478,734,-4880,1689,5027,-3536
44840,2878,-374,-3932,1967,4575,-20
44850,7282,-1585,-5695,-1824,9080,1741
44860,8524,-1473,-6716,-6233,6913,-570
44870,13108,-39,-7257,-1488,-4086,3544
44880,21366,346,-11318,5846,-923,6903
44890,19071,2253,-11525,9091,6170,9666
44900,16882,441,-8938,9186,-8466,7230
44910,9472,3230,-6844,9104,-6942,2917
44920,12597,869,-8621,10422,-4102,3890
44930,10396,1874,-12130,-3430,867,433
44940,12893,2433,-12822,-9027,1452,2227
44950,25651,4178,-22733,-6244,5978,386
44960,25539,2155,-20605,-12155,5240,-3738
44970,19207,1904,-16384,-3168,1136,-10828
44980,3617,-422,-6690,-7378,-9814,-16172
44990,844,-5055,-712,-11544,-9289,-8506
45000,5343,-3669,-2604,-7379,5396,-742
45010,8199,105,-5776,-11883,17786,-2030
45020,5391,-1223,-5263,-10151,-3993,1080
45030,17047,6060,-9164,1506,-1184,5152
45040,16969,6273,-14461,8594,-8237,8656
45050,15843,4234,-10614,6745,-3386,9714
45060,19825,3616,-11051,15907,5818,12117
45070,9485,5021,-10124,-694,2484,10118
45080,4195,3267,-8755,-12745,-2994,5413
45090,9970,3745,-11101,-20844,-10295,6216
45100,32750,3610,-5836,-5861,17979,5919
45110,32132,4488,-10993,5482,11538,-8684
45120,19032,3851,-14434,4298,-434,-18208
45130,10387,3642,-8463,9736,-3374,-16609
45140,1481,3065,-5708,6149,1591,-9745
45150,1412,1669,-5478,446,3936,-3892
45160,4580,1127,-5282,-6654,11556,-2386
45170,7608,1472,-7489,-13829,4554,-472
45180,10930,885,-2464,-14252,-321,2956
45190,15089,770,-1687,-1020,-11556,5542
45200,21294,4930,-6841,13756,-295,11176
45210,21541,6457,-9622,17820,-3485,8569
45220,17216,6505,-5516,11384,-3595,4786
45230,11740,7399,-8101,4400,23,1307
45240,10247,4901,-3556,-6496,-3561,-330
45250,14365,8296,-7872,-6126,-940,-2667
45260,28094,8133,-9972,-7341,6043,-1416
45270,29974,8301,-18102,-535,14583,-4591
45280,20123,4086,-8178,-946,-1244,-10445
45290,9420,4870,-8517,4528,-3852,-13003
45300,1598,1471,-4291,2315,-4201,-9928
45310,3140,57,-5364,-8922,6412,-2587
45320,3095,-2030,-4297,-11289,10932,-801
45330,12494,-22,-754,-12102,2484,2657
45340,10413,3713,1499,-662,-6435,1778
45350,20999,8027,-4974,15121,-15583,6326
45360,26616,7026,-14779,17856,3098,12185
45370,11856,3945,-8024,8730,-4936,8875
45380,12181,2961,-4305,7460,-14580,3767
45390,6862,5082,-6664,-740,1016,5512
45400,6643,6270,-3329,-3793,-1065,4173
45410,27192,17836,-13406,-5522,-6291,-475
45420,28934,14168,-12893,-9179,16813,-427
45430,32692,9373,-13787,-4445,8673,-6295
45440,22196,6711,-13166,-858,8308,-11240
45450,11502,792,-9222,-3213,-1608,-12815
45460,1707,-2247,-4915,-4476,1706,-10949
45470,1302,-6132,-3169,-6267,2475,-7049
45480,3991,-3508,-1868,-9604,9164,-2150
45490,9238,1601,-1950,-8337,6651,6691
45500,12315,5743,-3083,1297,-8820,4440
45510,26689,8206,-8165,14800,-22028,5777
45520,23414,10890,-12888,15204,13410,12498
45530,9521,3449,-1981,6206,-9933,9837
45540,16278,3112,-2959,13559,-851,7742
45550,7354,4198,-5012,10165,1416,4635
45560,16281,12380,-5546,-5671,4071,-1420
45570,20792,8699,-6436,-12322,11194,1775
45580,32644,11158,-10326,-6741,13009,-4508
45590,29888,8065,-7345,2757,-1486,-9805
45600,16623,4458,-8343,8941,3988,-11234
45610,7122,1194,-5908,1149,1760,-9533
45620,2627,-2678,-3111,-8898,-1445,-6101
45630,5828,-3639,-2940,-11713,2167,-2751
45640,3080,32,-463,-15638,7780,2478
45650,9544,390,81,-4204,-1227,8772
45660,15075,3627,-1533,6949,-5469,8506
45670,20509,2151,-4394,15552,-612,16649
45680,23114,1157,-4785,10091,10797,20380
45690,28714,-2241,-3240,8174,-7135,15336
45700,21339,-732,1298,4405,-6790,5132
45710,8283,3144,1477,4269,-11820,-3719
45720,6808,6005,-2349,-2841,-1599,859
45730,23042,9953,-7303,-12549,-5124,3182
45740,32750,7635,-5243,-16998,10040,-3009
45750,32750,179,-5966,-6000,16001,-4147
45760,17279,-1363,-7349,10723,-4542,-18914
45770,8191,-2385,-5088,9214,-20461,-20469
45780,5704,-1692,-5723,-1097,-4226,-14697
45790,5952,-3973,-6441,-15879,-7251,-9676
45800,8491,-3679,-914,-18947,7421,-9146
45810,1638,-2801,1918,-12028,15361,3178
45820,7715,5184,2355,771,2651,12571
45830,23775,7103,-3288,12948,-17263,13077
45840,26730,6172,-10822,26670,-6547,9295
45850,20005,5215,-7815,10368,-4014,12244
45860,12927,4780,-3241,2074,5620,13755
45870,11974,5601,-3947,912,11767,11759
45880,13786,7639,-4098,-922,3970,3079
45890,25865,8376,-4807,-1636,-4206,-3904
45900,26290,6107,-7157,-7263,16710,-4949
45910,32682,4555,-7516,-4070,1657,-4896
45920,19994,615,-8321,7840,-3177,-14031
45930,8592,-85,-5061,6320,-16903,-16829
45940,7223,-2448,-2861,1196,-2386,-11254
45950,6222,-3159,-4194,-2267,7215,-5426
45960,8249,-1901,-3193,-5021,7561,-5469
45970,8045,1520,-2897,-6319,4185,-1273
45980,14253,4893,-3375,-2602,-3424,3571
45990,17770,6104,-4184,4173,-11024,6155
46000,26955,6320,-8128,13690,-5093,10669
46010,10373,4131,-3251,8894,-2714,11047
46020,14718,1828,-4283,18082,-17239,12535
46030,12898,3339,-7929,10453,-4723,2333
46040,12555,4154,-7438,-2046,9186,7075
46050,16031,5733,-9716,-10629,5852,1855
46060,21602,8111,-12514,-14038,1006,-3078
46070,28688,3639,-10326,-10933,1640,-983
46080,29238,2782,-12718,80,22388,71
46090,9135,562,-6829,890,-7521,-13357
46100,7902,-193,-4787,3674,-23701,-15412
46110,4727,-450,-4053,-1777,-6260,-10684
46120,6210,-1538,-4827,-8519,12846,110
46130,12978,-2447,-7297,-12376,9479,542
46140,19848,-1059,-8381,-2631,-287,-2637
46150,14980,4272,-6746,698,-1935,2683
46160,20092,4539,-8129,13828,-14462,3201
46170,15987,5434,-9090,13008,-611,5557
46180,12160,3381,-4582,5329,-1586,7387
46190,11381,4848,-3672,5136,2790,4663
46200,13568,6854,-8162,4564,4022,3053
46210,15338,12825,-13462,-5437,-535,-3387
46220,20376,11786,-12340,-13579,3837,-935
46230,20038,9248,-7548,-10713,4096,-370
46240,21888,7834,-10497,2063,8479,18
46250,7889,2140,-7363,671,-11711,-12021
