t_ms,ax,ay,az,gx,gy,gz
50,7302,-1252,3027,1118
39360,13012,5890,8060,-1944,2289,-298
39370,12447,5237,9757,-2799,2347,-711
39380,11575,5174,10223,-1493,124,-137
39390,12494,5272,9934,-305,-212,410
39400,12547,5345,9198,171,-1151,581
39410,13476,5298,9166,138,-841,237
39420,12519,5413,8822,139,-277,28
39430,13011,5110,9152,-188,-243,131
39440,13020,5283,9015,-100,191,-87
39450,12564,5408,8888,-191,287,-133
39460,12897,5143,9248,-427,678,42
39470,12849,5160,9247,-279,523,-103
39480,12361,5179,9276,-255,47,-46
39490,12923,4995,9737,-63,-160,-52
39500,12191,5270,9442,537,-1521,-116
39510,13176,4947,9435,1091,-3599,-28
39520,12944,5278,8254,1220,-1463,168
39530,13710,5469,7826,344,-403,157
39540,13656,5361,8039,-481,1029,-145
39550,13169,5210,8822,-912,1751,-296
39560,12980,5043,9890,-156,-1480,-328
39570,13132,4856,9624,2763,-13999,-1212
39580,12938,5092,7551,5004,-18556,-1317
39590,14135,6164,3538,6619,-16677,-192
39600,14971,6163,392,5706,-8384,1158
39610,16901,6401,-1226,2708,-3480,744
39620,16156,6141,-628,-257,3777,-141
39630,14871,5856,939,-1344,3467,83
39640,15751,5544,3047,-1398,1126,-95
39650,14744,5759,3036,-361,2232,-97
39660,15186,5941,2468,347,-1293,212
39670,15707,5756,2050,432,-273,38
39680,15436,5785,1649,150,-225,-6
39690,15505,5797,2123,-205,445,-219
39700,15158,5689,2277,-166,617,-36
39710,15416,5674,2231,-177,-36,-16
39720,15242,5664,2366,-212,105,-9
39730,15523,5671,2328,-92,34,42
39740,15327,5822,2335,-87,115,-19
39750,15449,5637,2337,-98,408,-31
39760,15566,5605,2326,-102,-210,-88
39770,15491,5680,2448,-56,395,-148
39780,15345,5668,2398,12,799,-193
39790,15273,5782,2483,-190,40,-127
39800,15556,5580,2616,-129,538,-163
39810,15236,5707,2425,-145,189,-259
39820,15336,5628,2651,-356,657,-39
39830,15395,5667,2752,-264,1161,-69
39840,15262,5668,3109,-106,-108,-66
39850,15220,5586,2985,203,-181,-120
39860,15407,5642,2633,240,-392,-192
39870,15389,5677,2465,-13,-111,-20
39880,15534,5666,2771,-199,316,-196
39890,14940,5759,2997,-138,291,-228
39900,15310,5648,3039,60,-299,75
39910,15403,5564,2745,230,-396,-125
39920,15330,5710,2489,-6,-36,-79
39930,15428,5675,2743,-144,195,-105
39940,15393,5546,2854,-150,617,-176
39950,15277,5721,2806,-210,993,-150
39960,15358,5663,3157,-282,591,-79
39970,15135,5593,3160,-112,991,-168
39980,15343,5609,3348,-48,35,-160
39990,15203,5615,3117,73,-1,-129
40000,15190,5718,3046,-76,-207,-147
