t_ms,ax,ay,az,gx,gy,gz
-3422,-15182,173,107,-223
36500,5051,-3575,-15110,372,-157,-339
36510,5113,-3466,-15277,-21,-41,-209
36520,5066,-3661,-14968,124,-95,-207
36530,5065,-3554,-15001,145,-118,-154
36540,5069,-3589,-15089,216,16,-157
36550,5211,-3505,-15219,166,-138,-132
36560,5159,-3669,-15107,-93,58,-180
36570,5035,-3660,-14972,39,-94,-230
36580,5319,-3613,-15067,-128,-34,-239
36590,5067,-3597,-14961,289,-165,-354
36600,5158,-3596,-15079,29,-199,-258
36610,5121,-3582,-15032,323,-170,-374
36620,5050,-3617,-15165,118,-161,-342
36630,4899,-3664,-15034,254,-234,-277
36640,4933,-3674,-15102,326,-309,-244
36650,4955,-3810,-15130,216,-94,-121
36660,5017,-3646,-15147,-27,-139,-110
36670,5045,-3729,-14956,77,-110,-138
36680,4947,-3752,-15037,272,-193,-114
36690,4940,-3884,-15063,167,-66,-89
36700,4972,-3835,-15109,301,-218,-60
36710,5137,-3779,-15091,176,-270,-106
36720,5037,-3890,-15022,246,-140,-231
36730,4845,-3916,-15066,195,-145,-218
36740,4963,-3976,-15046,242,-235,-138
36750,4932,-3980,-15021,305,-74,-234
36760,4828,-3956,-15115,365,-215,-215
36770,4882,-4050,-15128,201,-194,-153
36780,4809,-4067,-15013,194,-152,-225
36790,4778,-4057,-14976,290,-204,-76
36800,4879,-4050,-15085,159,-109,-114
36810,4803,-4024,-15258,-2,-362,-276
36820,4912,-4134,-15057,-147,-381,-170
36830,4693,-4111,-14843,9,10,-177
36840,4729,-4117,-15006,178,-135,-142
36850,4763,-4128,-15201,99,-19,-99
36860,4710,-4119,-15091,-52,-2,-107
36870,4771,-4147,-15045,-64,-186,-83
36880,4876,-4104,-14986,-29,-102,-102
36890,4775,-4092,-15058,22,-48,-210
36900,4630,-4135,-15111,24,-8,-181
36910,4698,-4129,-15074,7,-140,-130
36920,4678,-4167,-15041,5,27,-86
36930,4773,-4150,-15081,12,-155,-63
36940,4806,-4122,-15043,-5,9,-92
36950,4779,-4123,-14987,44,-128,-153
36960,4696,-4158,-15096,61,49,-141
36970,4843,-4169,-14994,1,-236,-124
36980,4620,-4141,-15071,110,102,-237
36990,4712,-4212,-15078,-45,-192,-49
37000,4717,-4200,-15065,24,10,-184
37010,4705,-4129,-14989,-58,-4,-21
37020,4812,-4243,-15068,82,-94,-139
37030,4871,-4133,-15042,-74,-60,-126
37040,4760,-4133,-14988,46,-16,-251
37050,4672,-4183,-15098,11,-43,-189
37060,4740,-4231,-15035,-18,-63,-211
37070,4658,-4145,-15023,-27,-31,-129
37080,4837,-4217,-14974,-26,-145,-140
37090,4628,-4149,-15063,40,5,-142
37100,4753,-4142,-15016,11,-203,-118
37110,4696,-4180,-15000,15,-36,-120
37120,4756,-4163,-15019,67,-122,-146
37130,4690,-4187,-14976,21,100,-124
37140,4787,-4231,-15062,-43,-228,-89
37150,4724,-4254,-14946,-31,98,-121
37160,4731,-4195,-14994,70,-160,-170
37170,4801,-4171,-15079,58,-20,-163
37180,4729,-4187,-15020,16,-64,-160
37190,4710,-4203,-15049,73,-36,-181
37200,4753,-4247,-15016,15,-127,-174
37210,4635,-4206,-15065,76,53,-202
37220,4684,-4296,-15052,-11,-154,-102
37230,4774,-4243,-15025,24,-122,-159
37240,4704,-4266,-14977,-15,-42,-121
37250,4760,-4186,-15056,68,-71,-182
37260,4720,-4232,-15084,11,-108,-129
37270,4653,-4258,-15080,-19,53,-154
37280,4671,-4258,-15005,4,-180,-155
37290,4805,-4264,-14981,-16,-53,-120
37300,4696,-4242,-15040,54,22,-208
37310,4776,-4256,-15041,-3,-164,-199
37320,4596,-4304,-15116,43,74,-215
37330,4607,-4273,-15054,-97,-123,-93
37340,4736,-4174,-15013,68,-108,-140
37350,4718,-4263,-15031,-14,-33,-75
37360,4722,-4285,-15079,30,-49,-154
37370,4515,-4320,-15077,-50,22,-74
37380,4863,-4280,-14993,-76,-245,-26
37390,4752,-4268,-14961,-23,66,-146
37400,4769,-4234,-15011,10,-188,-132
37410,4717,-4247,-15073,46,-1,-216
37420,4578,-4215,-15104,-25,-70,-147
37430,4641,-4320,-15034,-48,-85,-111
37440,4735,-4231,-14983,-40,-136,-99
37450,4803,-4272,-14967,33,-33,-139
37460,4635,-4280,-15154,73,-30,-230
37470,4738,-4307,-15071,-67,-133,-149
37480,4644,-4241,-14968,-37,24,-197
37490,4689,-4256,-15058,82,-226,-203
37500,4661,-4260,-15079,-9,24,-185
37510,4614,-4223,-15079,17,-121,-205
37520,4527,-4294,-15091,-12,-10,-138
37530,4575,-4287,-15097,-45,-85,-47
37540,4740,-4309,-14966,-88,-50,-40
37550,4841,-4206,-14972,11,-122,-112
37560,4653,-4263,-15112,53,-9,-190
37570,4643,-4282,-15117,-27,-98,-172
37580,4553,-4279,-15025,-45,-2,-118
37590,4810,-4298,-14957,34,-88,-91
37600,4603,-4244,-15071,85,188,-201
37610,4763,-4272,-15056,-59,-246,-58
37620,4576,-4245,-15061,45,115,-209
37630,4692,-4332,-15061,-45,-142,-39
37640,4744,-4262,-15015,-43,-15,-138
37650,4709,-4280,-14994,12,-110,-130
37660,4804,-4275,-15065,32,-70,-202
37670,4609,-4252,-15031,-9,-53,-235
37680,4496,-4272,-15074,4,-8,-173
37690,4663,-4301,-15092,-61,-111,-33
37700,4660,-4270,-15024,-33,-4,-108
37710,4744,-4261,-14997,-71,-109,-38
37720,4787,-4244,-14987,21,-14,-168
37730,4627,-4240,-15095,5,-28,-143
37740,4774,-4303,-15044,-46,-141,-163
37750,4543,-4253,-15006,2,29,-197
37760,4629,-4280,-15030,-1,-135,-58
37770,4692,-4282,-15052,-8,8,-123
37780,4721,-4280,-15021,-9,-98,-89
37790,4709,-4284,-15003,18,-45,-135
37800,4647,-4236,-15087,26,-26,-128
37810,4718,-4276,-15043,-28,-71,-130
37820,4600,-4340,-14983,33,-54,-111
37830,4777,-4307,-15044,45,-96,-168
37840,4662,-4255,-15049,3,-40,-149
37850,4672,-4268,-15030,23,-117,-212
37860,4519,-4314,-15098,-10,35,-52
37870,4686,-4343,-15058,1,-145,-81
37880,4746,-4266,-15029,-55,2,-94
37890,4819,-4243,-15007,12,-130,-148
37900,4640,-4287,-15029,32,31,-221
37910,4532,-4334,-15057,19,-71,-127
37920,4616,-4336,-15117,-7,-39,-97
37930,4695,-4286,-15005,-58,-99,-53
37940,4739,-4329,-15025,21,24,-97
37950,4773,-4332,-15027,-17,-97,-142
37960,4620,-4308,-15051,47,42,-164
37970,4660,-4345,-15090,-7,-78,-120
37980,4663,-4312,-15022,-59,-24,-108
