t_ms,ax,ay,az,gx,gy,gz
bbbj
11280,9908,-6466,9009,-111,1425,-755
11290,10468,-7226,10548,-1668,-1374,-1230
11300,11502,-7475,11519,-688,-68,-208
11310,11516,-7121,10644,491,690,-291
11320,11522,-6811,10186,477,756,-651
11330,11546,-6890,10258,60,1011,-1090
11340,10989,-6721,10559,-326,1042,-1467
11350,11149,-7158,10899,-235,1696,-1243
11360,10253,-7049,10783,57,1695,-1259
11370,9494,-7584,10485,179,-1665,-2185
11380,10179,-7182,10646,-782,-1864,-1421
11390,11108,-6220,10882,-1146,-1448,-26
11400,12041,-6472,9439,550,-2375,-743
11410,12362,-6708,9930,-1429,-416,-473
11420,11919,-6858,10524,-794,127,-652
11430,11829,-6647,10856,-572,-327,-1028
11440,10952,-5902,9678,717,311,-926
11450,10674,-6157,9586,-1393,1189,202
11460,11751,-6227,10479,-2176,-175,503
11470,12350,-6819,10046,-1129,-1581,-966
11480,12995,-6609,9893,-1228,-1459,-1884
11490,12490,-6531,9805,-1253,1082,-1863
11500,12217,-6505,9938,-1496,1391,-1936
11510,11945,-6620,9721,-1518,1455,-2022
11520,11762,-6959,9870,-1758,1594,-1931
11530,11350,-7145,10198,-1766,1971,-1525
11540,11067,-6961,10205,-1312,1616,-1151
11550,11158,-6884,10069,-1136,638,-1022
11560,11532,-7020,10153,-1152,652,-862
11570,11491,-7094,10282,-949,755,-865
11580,11284,-7034,10100,-727,689,-782
11590,11129,-7027,10249,-802,324,-716
11600,11310,-7055,10274,-558,-63,-602
11610,11523,-7171,10352,-369,511,-239
11620,11164,-6910,10146,-212,685,-174
11630,11191,-7168,10443,-190,437,70
11640,11098,-7110,10510,107,434,115
11650,11084,-7241,10433,386,-2,219
11660,11097,-7053,10588,468,-22,271
11670,11001,-6861,10181,794,-182,373
11680,11338,-6930,10380,300,-131,692
11690,11346,-7182,10611,600,154,557
11700,11112,-7047,10631,1013,-78,350
11710,11149,-7068,11175,1339,1761,1169
11720,10318,-6865,10666,1161,4947,3233
11730,11138,-7076,11389,1483,1187,1155
11740,10019,-7089,11312,1455,2499,1287
11750,9122,-6853,11873,1259,2866,1961
11760,9103,-6908,12417,1580,1132,1595
11770,9279,-7158,12568,2233,1946,2391
11780,9102,-7163,12396,2643,2022,2388
11790,8684,-6933,12318,2481,1670,2073
11800,8410,-6843,12923,2062,1793,2121
11810,8016,-6558,13076,2453,989,1877
11820,7860,-6373,12724,2158,170,1821
11830,8088,-6255,12961,1232,254,1865
11840,7802,-6388,13213,819,85,1683
11850,7908,-6282,13398,929,-511,1390
11860,7825,-6136,13180,735,-511,1287
11870,7797,-6228,13129,320,-1292,1084
11880,7991,-6369,13270,18,-1287,896
11890,8081,-6387,13174,156,-1945,656
11900,8383,-6531,13316,72,-1674,564
11910,8327,-6295,13016,240,-990,879
11920,8668,-6313,12910,116,-1375,505
11930,8743,-6452,12912,-134,-612,435
11940,8524,-6666,13116,27,8,354
11950,8338,-6526,13015,95,-452,185
11960,8520,-6426,12829,138,-453,132
11970,8695,-6531,12916,-121,-417,-94
11980,8382,-6419,12766,-241,8,10
11990,8496,-6365,12202,-527,-1934,-991
12000,9021,-6371,11889,-1699,-5853,-3054
12010,10095,-7143,13241,-1891,-4489,-2374
12020,9366,-6876,12447,137,1784,433
12030,9311,-6683,11658,-36,-1045,-609
12040,9857,-6760,11882,-413,-1208,-755
12050,9966,-6634,11910,-326,-5,-375
12060,9813,-6646,11818,-419,-289,-570
12070,9895,-6714,11926,-422,-151,-539
12080,9783,-6714,11867,-343,36,-450
12090,9927,-6704,11842,-325,-95,-521
12100,9929,-6720,11763,-313,-71,-538
12110,9949,-6721,11784,-379,16,-531
12120,9925,-6756,11817,-333,74,-528
12130,9881,-6764,11704,-350,52,-470
12140,9911,-6797,11810,-369,215,-434
12150,9865,-6793,11727,-293,47,-505
12160,9955,-6768,11758,-369,130,-423
12170,9893,-6739,11772,-330,190,-432
12180,9936,-6867,11762,-296,215,-462
12190,9865,-6844,11812,-267,114,-464
12200,9833,-6761,11790,-250,127,-472
12210,9893,-6769,11771,-257,93,-436
12220,9901,-6769,11770,-270,103,-432
12230,9889,-6783,11757,-257,74,-421
12240,9932,-6841,11800,-256,117,-376
12250,9825,-6796,11747,-152,117,-414
12260,9877,-6744,11756,-224,113,-341
12270,9922,-6801,11859,-207,178,-311
12280,9858,-6765,11691,-136,101,-369
12290,9923,-6805,11833,-229,339,-210
12300,9758,-6736,11817,-230,195,-317
12310,9861,-6825,11843,-164,200,-265
12320,9720,-6735,11711,-172,73,-288
12330,9896,-6863,11940,-305,68,-199
12340,9743,-6782,11863,-105,142,-307
12350,9743,-6829,11746,-143,-16,-225
12360,9912,-6909,11935,-203,21,-222
12370,9685,-6792,11831,-58,-100,-286
12380,9931,-6756,11835,-115,-52,-148
12390,9850,-6850,11770,-95,60,-214
12400,9793,-6793,11827,-76,136,-229
12410,9685,-6713,11835,-129,-43,-253
12420,9907,-6811,11846,-153,11,-117
12430,9856,-6878,11804,-68,88,-232
12440,9698,-6870,11789,-102,-6,-270
12450,9747,-6869,11935,-149,-239,-193
