t_ms,ax,ay,az,gx,gy,gz
41,1558,18868,757,-338,-37
24120,9328,925,16334,451,96,565
24130,5913,2726,11783,157,1797,135
24140,7090,2131,15480,107,678,-185
24150,7437,1979,14821,-132,-477,-258
24160,7668,1748,14723,-359,328,-504
24170,7169,290,17787,651,-4656,-4446
24180,4580,-2092,14169,3124,-29825,-2494
24190,29310,699,22578,-2095,-11093,-7265
24200,15273,1390,20334,2559,17505,-10924
24210,8768,4924,16081,6169,288,-12171
24220,12284,6276,12998,8915,1679,-13428
24230,8294,7704,8801,7597,8042,-12063
24240,7252,8937,8232,7207,4746,-12073
24250,6261,10542,6901,7749,8243,-11183
24260,6223,12713,6224,5473,9603,-10764
24270,2887,13051,5957,2395,12964,-12260
24280,-1421,11666,5096,403,8604,-13510
24290,-4393,9594,4422,-2330,6044,-14109
24300,-8542,5742,5257,-3928,3456,-11748
24310,-8724,4403,6427,-5229,1316,-7416
24320,-4094,4688,9797,-657,-2716,-3630
24330,-1910,7180,10182,328,-3199,-6522
24340,-2467,8038,12644,-614,-4646,-8051
24350,-6809,7092,12931,-1036,-4322,-9311
24360,-8948,7187,15087,-4204,-3981,-8956
24370,-11710,7916,14730,-2342,2708,-6931
24380,-9778,7057,13582,-1123,5364,-3379
24390,-9198,4926,11070,977,-2238,-3501
24400,-7541,3397,11698,2593,-7022,-3474
24410,-6148,5217,14298,3713,-6163,-3378
24420,-7411,5463,12806,5562,-1955,-2624
24430,-7738,6537,10293,5771,-1055,-2429
24440,-8401,9708,10732,2979,2607,-3820
24450,-9561,9930,10928,3050,2167,-4169
24460,-9875,9492,9975,745,4274,-5128
24470,-11894,7414,11349,-686,8772,-5707
24480,-13257,7266,9260,-987,10213,-4697
24490,-12625,7123,9267,-2591,5674,-3494
24500,-12726,5586,9445,-3119,1884,-3065
24510,-12549,4298,8802,-3726,-2422,-1417
24520,-11330,3298,10657,-4008,-3396,-567
24530,-9803,2880,13053,-1861,-960,-973
24540,-10762,2825,11284,-688,1032,-1404
24550,-10182,2995,11478,-362,2071,-1159
24560,-11416,3636,10732,935,3109,-1553
24570,-12054,3738,10918,1875,2471,-1696
24580,-11673,2945,10806,3797,2188,-2546
24590,-11676,2561,10128,6349,2752,-3269
24600,-11625,3015,7323,7183,4575,-3825
24610,-13130,3949,6632,6405,6495,-4270
24620,-14200,3727,6384,6469,6218,-4498
24630,-14975,3597,5789,7090,7427,-5268
24640,-15575,3844,3896,8560,7560,-6453
24650,-17318,3392,1832,7471,7159,-7115
24660,-18523,2511,1735,5495,3417,-5617
24670,-17078,1867,3235,4589,-214,-3342
24680,-14703,1707,2433,4132,1087,-3031
24690,-16158,1268,1678,3641,2901,-3142
24700,-16832,962,1572,3434,1925,-2506
24710,-15546,872,1163,3464,2666,-2484
24720,-16115,945,633,3747,2436,-2376
24730,-15407,1362,570,3340,1793,-2001
24740,-15700,1708,807,1793,3044,-1648
24750,-16637,1617,457,102,3402,-777
24760,-17904,1254,-1000,-906,2176,295
24770,-17948,1222,-2040,-1337,-205,1294
24780,-16823,1042,-1492,-2820,-444,1492
24790,-16519,570,-708,-3357,-687,1772
24800,-16879,213,-434,-2942,-5,1820
24810,-16472,357,-883,-1728,-1331,1909
24820,-15623,653,-753,-435,-1498,728
24830,-16572,1106,127,283,-1219,93
