t_ms,ax,ay,az,gx,gy,gz
bjbbjj
17240,11792,-4444,10579,-1041,1218,103
17250,12177,-5015,10463,-869,-51,83
17260,12871,-5031,10359,248,-426,-500
17270,13236,-4325,10390,557,890,-941
17280,13264,-4401,10490,779,1781,-1542
17290,12394,-4082,10544,129,2423,-1702
17300,11419,-4304,11128,-43,573,-1370
17310,10926,-3968,11816,245,1303,-2373
17320,11570,-4000,10964,-1491,134,-1725
17330,11952,-3722,10450,-594,66,-1425
17340,12613,-3821,11419,-453,1100,-1231
17350,11743,-3649,10744,-307,428,-2981
17360,11645,-3231,11203,-540,630,-2239
17370,11804,-3010,11798,-559,189,-1415
17380,10648,-2910,10969,-360,776,-515
17390,11882,-2674,10417,228,206,191
17400,11891,-3841,11570,1100,-1792,-619
17410,11966,-2595,10313,5208,-4005,473
17420,13782,-2790,13726,1283,-1770,-513
17430,11932,-2406,11952,3072,-1813,-769
17440,11043,-1656,9944,1914,-3443,206
17450,12396,-2147,8565,-1740,-2025,2834
17460,12293,-2364,7332,-3074,977,3106
17470,15419,-5054,11183,-4785,589,2278
17480,13923,-4059,10077,-89,319,1256
17490,13416,-3795,9520,-651,58,254
17500,12666,-3869,10313,677,-56,487
17510,12627,-3843,10734,736,206,555
17520,12590,-3593,9660,-140,-1276,824
17530,12755,-4549,9610,-1580,-367,381
17540,12180,-4175,8711,-1062,94,562
17550,13662,-4757,9912,-2565,-742,1750
17560,12135,-5317,10546,285,-42,971
17570,10840,-4487,9219,-635,-493,2633
17580,11803,-5742,10663,-782,-1904,1273
17590,12226,-5614,9495,434,-1398,2015
17600,9082,-7323,8878,521,-1878,7528
17610,13653,-6130,7428,-3075,-3315,11064
17620,15699,-7542,8518,-3715,613,4814
17630,14658,-8036,7114,545,-1687,-442
17640,14456,-8431,8710,-159,734,-848
17650,12180,-7860,8414,1340,3602,-777
17660,11374,-7741,8561,860,1944,-990
17670,11242,-7889,9475,1349,-342,-1455
17680,12126,-7176,8862,1700,-249,-1314
17690,11995,-7218,9932,13,562,-1204
17700,12134,-6669,9832,169,704,-391
17710,11210,-7290,9555,-414,-149,-705
17720,11228,-7451,9425,-300,-460,-227
17730,12479,-7014,8989,501,-1188,-324
17740,12904,-6920,9061,515,-423,-911
17750,13382,-6849,8848,184,930,-526
17760,13914,-7167,8295,1346,1513,-1242
17770,14189,-6275,8053,3346,4249,-1487
17780,12602,-6310,11438,3372,4252,-2191
17790,9931,-5565,12070,2014,3281,-3445
17800,8344,-5108,10962,-367,-12,-2001
17810,8958,-5352,11039,-508,-1062,-4
17820,11921,-5305,11075,-945,-3197,477
17830,13343,-5544,10276,-1152,-1613,75
17840,12092,-5924,9767,-1079,111,296
17850,11945,-6233,9896,-255,94,27
17860,12157,-5646,10281,335,159,-254
17870,12351,-5407,10392,273,235,-215
17880,11656,-5384,10666,48,738,-18
17890,11272,-5581,10594,-391,74,198
17900,11167,-6392,11237,1310,-1924,461
17910,12767,-5369,9361,1049,-3259,119
17920,13364,-5445,9563,-53,-2296,-448
17930,13369,-5331,9585,-957,911,-360
17940,11567,-6400,10613,-1098,1605,-550
17950,11054,-5945,9712,10,-242,-515
17960,12816,-5731,10401,690,-1471,-544
17970,12767,-5802,10194,806,-600,-551
17980,12766,-5357,10236,550,-167,-1093
17990,12337,-5775,10784,2581,-1688,-1509
18000,12721,-4346,8344,3316,-1514,-1544
18010,12662,-4183,9146,1778,-1009,-939
18020,12861,-3781,9342,990,-667,-392
18030,11999,-4162,9243,-899,-607,22
18040,11482,-4975,9418,-2167,-1893,1086
18050,12402,-5090,8654,-3535,-4092,1400
18060,14925,-5066,9302,-1323,-4079,211
18070,14423,-4729,7094,-1813,-913,-174
18080,13508,-6162,8912,-1669,-924,-657
18090,13756,-5330,7995,290,-491,337
18100,12902,-5295,8355,-122,884,674
18110,14041,-4846,8310,493,1894,933
18120,13133,-5459,8347,1842,2793,439
18130,13184,-6192,7936,2614,1748,918
18140,13656,-4363,6257,2098,-621,1400
18150,13828,-5773,9917,-550,-761,299
18160,13806,-5471,9784,1608,615,263
18170,13278,-4840,9445,-384,1670,-50
18180,12206,-5809,6984,-1315,1593,164
18190,11989,-5963,8861,-537,-247,-643
18200,13005,-5658,10003,1605,-1278,-1055
18210,13655,-4579,10053,-1383,449,-170
18220,13033,-5258,9294,-1820,1994,48
18230,11037,-5679,9549,-2348,1270,736
18240,13286,-5719,9721,-970,-1672,-202
