t_ms,ax,ay,az,gx,gy,gz
17100,-18129,-3572,1335,359,2349,-12642
17110,-25625,15721,-145,-1298,4098,-5998
17120,-32180,23814,5660,-15442,10069,6141
17130,-31739,14454,11393,-17941,3350,18198
17140,-16228,-20073,3599,-4110,-17528,32764
17150,22113,-32764,-15823,-1374,-30298,32764
17160,15473,-32764,-19230,-14604,-15025,32764
17170,19007,-32557,-19083,-22245,-12624,32764
17180,15672,-31173,-13055,-30993,-10664,32764
17190,20485,-29457,-2087,-28501,-14777,32764
17200,32749,-32764,8744,-22601,-1188,32764
17210,32750,-32764,22028,-24661,18803,19969
17220,19282,-32764,12167,14243,-26047,-12857
17230,29535,-32764,-4681,29806,-30233,-27950
17240,19257,-32764,-5125,19282,-32764,-32764
17250,17671,-21069,-8587,8967,-18076,-32764
17260,17241,-22839,-8944,-4965,11916,-32764
17270,11629,-31153,-8632,-2641,22445,-32764
17280,18055,-32760,-9627,983,12595,-32764
17290,17382,-32764,-7928,-261,10976,-32764
17300,4126,-29073,-7530,-2417,18130,-32764
17310,-26654,-16208,-8958,3130,24071,-32764
17320,-32764,2131,-12774,-3301,3174,-18552
17330,-32764,6771,-6987,-8744,-5000,17791
17340,-17018,-5271,-3995,-12905,-14295,32764
17350,6367,-24294,-7886,-15271,-8449,32764
17360,14857,-32764,-6343,-21221,-22466,32764
17370,15887,-32764,-13263,-14117,-32298,32764
17380,15891,-32764,-12023,-13951,-28267,32764
17390,20501,-32764,-2572,-10969,7403,32764
17400,24869,-26106,-530,-20763,32764,32764
17410,18817,-32764,14504,-23656,11194,20615
17420,18124,-32764,30305,-32237,-318,9643
17430,18234,-32764,5595,12475,-17280,-6698
17440,18712,-32764,-3286,20188,-19463,-24076
17450,19444,-32764,408,15741,-32751,-32764
17460,18279,-25887,-4276,16748,-23214,-32764
17470,23105,-25567,-8779,1254,2703,-32764
17480,28733,-32764,-13948,398,24934,-32764
17490,16920,-32764,-11201,1221,32764,-32764
17500,3151,-32764,-8224,13375,27918,-32764
17510,-14040,-28169,-13901,14332,25506,-32764
17520,-27533,-5796,-17268,12747,9664,-28925
17530,-32764,5197,-17423,-3539,1243,-8420
17540,-32764,8347,-7691,-14055,2345,4215
17550,-31827,-1480,-5901,-16307,-10210,21650
17560,-3368,-21120,-10483,-23596,-31794,32764
17570,22484,-29450,-5833,-21909,-23894,32764
17580,13180,-31778,-8281,-23415,-14824,32764
17590,15825,-32764,-9564,-22712,-23277,32764
17600,12543,-32764,-10659,-24770,-32764,32764
17610,20581,-32764,-5638,-19876,-28905,32764
17620,32750,-32764,10095,-3277,942,32520
17630,32750,-32764,2116,-12634,-8556,14286
17640,32750,-32764,16670,10456,-13965,-28943
17650,16411,-32764,-1817,13860,-20763,-32764
17660,17090,-28863,-14454,5857,-7356,-32764
17670,26422,-32070,-10920,-14529,7911,-32764
17680,13369,-32764,-15534,-11427,10947,-32764
17690,12461,-32764,-9570,-19623,3479,-32764
17700,3837,-32764,-7749,-16890,20629,-32764
17710,-4023,-27141,-7175,-8241,26850,-32764
17720,-19953,-14613,-6140,-3971,26052,-32764
17730,-32764,-1435,-5752,-705,9572,-15235
17740,-32764,6597,3355,-11725,-1071,7393
17750,-32764,6319,5475,-8539,-5367,21679
17760,-11917,-13983,-6016,-5829,-25377,32764
17770,5707,-30080,-13335,-2384,-22718,32764
17780,22356,-32764,-18532,-5209,-28623,32764
17790,16242,-32764,-19732,-15414,-23279,32764
17800,19243,-32764,-11005,-19042,-11014,32764
17810,28329,-31487,-931,-25134,2495,32764
17820,32604,-32764,-625,-9093,-3074,26312
17830,32750,-32764,21582,-30501,-19976,12142
17840,32750,-32764,22444,16589,8199,-5227
17850,17345,-32764,-8696,31914,-31108,-32758
17860,22319,-24405,-4955,18257,-24669,-32764
17870,18328,-19238,-9678,9466,-3361,-32764
17880,27705,-32764,-12212,-9505,19952,-32764
17890,22451,-32764,-12200,-4799,28675,-32764
