t_ms,ax,ay,az,gx,gy,gz
8,-21185,3761,-32764,-9271,10514
85140,2096,-23465,3293,-32764,-13557,20069
85150,6659,-22817,5750,-32142,-11395,24662
85160,8949,-19238,7856,-22339,-10255,19619
85170,10029,-17769,2875,-18858,7135,13294
85180,9877,-22231,4423,-20369,-1402,8381
85190,20609,-32764,32683,-32764,17112,15890
85200,17716,-32764,32764,499,-32447,-4595
85210,11505,-32764,6225,32764,-4018,-17292
85220,8960,-13532,10337,17393,2637,-10701
85230,9527,-15136,10819,25948,975,-15613
85240,5641,-21031,5947,27934,5023,-16974
85250,5805,-21784,2164,30575,5536,-18279
85260,3218,-25348,2565,27713,11547,-15498
85270,894,-19212,-613,31558,14220,-11442
85280,-4642,-286,-13312,28032,-236,-7459
85290,-8353,4695,-21549,1903,-16658,-5766
85300,-6237,-14867,-5611,-32764,-7586,12687
85310,4428,-21270,6173,-32764,-8268,22169
85320,5427,-18529,4077,-29210,-3660,20972
85330,6757,-14329,2200,-24146,-4286,15936
85340,5367,-19549,2518,-22328,1001,14702
85350,8416,-25359,5371,-23832,-8657,14733
85360,15188,-32764,9524,-26727,5261,12859
85370,7737,-32764,32764,-30806,3935,15344
85380,21867,-32764,29727,26705,14989,-7843
85390,6378,-29236,17319,26572,4890,-4860
85400,11760,-22487,8232,32764,-13590,-15707
85410,7665,-26395,-707,32604,-4900,-25900
85420,3159,-24585,-2728,28737,2469,-28365
85430,532,-24329,-3721,28482,20792,-20702
85440,-1575,-25465,-4374,27885,22873,-8220
85450,-6090,1698,-5613,29806,-2217,-6735
85460,-13824,14181,-23430,10812,-14824,-1165
85470,-6817,-10442,-10588,-32763,-2521,10066
85480,-352,-30939,3235,-32764,-11736,22440
85490,6910,-25808,5328,-32040,-13996,22728
85500,10131,-19833,6329,-25572,11324,21512
85510,4649,-16527,6102,-21928,3719,12422
85520,5026,-19427,9925,-21097,-1641,11157
85530,5543,-32742,13322,-22835,-5462,11346
85540,8812,-32764,32764,-21773,10145,10475
85550,13761,-32764,32699,17933,-8344,-4323
85560,7984,-29550,18942,23075,-9009,-13012
85570,7869,-16227,9203,29812,-9652,-17510
85580,7556,-20555,4463,26786,-7443,-22826
85590,4342,-23309,-459,26868,495,-27135
85600,202,-20839,-1508,24885,16031,-23263
85610,-2407,-20759,-1483,25117,26826,-10085
85620,-9295,2326,-8384,16852,7474,-2143
85630,-8080,6707,-14184,2240,-6557,3376
85640,-1664,-9864,-8756,-26458,124,11520
85650,1810,-27573,5552,-32764,1437,14611
85660,6269,-19969,4189,-31986,-10648,14684
85670,8440,-17730,4134,-29179,-15046,12604
85680,7150,-14730,3835,-27845,-4782,8381
85690,4470,-19582,3323,-20789,5120,7586
85700,4120,-32529,8305,-26554,6594,8009
85710,94,-32764,32764,-32212,13434,9322
85720,31033,-32764,32733,20202,-7927,-8869
85730,1472,-29386,8480,22930,32757,-10
85740,5411,-16444,11864,26419,-25562,-6286
85750,10980,-18075,7807,30025,-8849,-14565
85760,6150,-24765,6094,30560,5928,-15595
85770,4385,-26417,5341,32188,6494,-14589
85780,4265,-32603,11551,32764,2712,-13510
85790,2780,-25594,1109,32764,-2149,-19151
85800,-13035,5634,-23097,32757,14309,-13321
85810,-14400,17088,-30881,-4836,-13549,4052
85820,-3117,-8961,-4881,-32764,-7862,13448
85830,1616,-26107,1566,-32764,-2233,16703
85840,5432,-25719,2931,-32763,-8840,16566
85850,7351,-19790,2678,-28339,-10284,13193
85860,4435,-18204,2671,-23180,-1815,12102
85870,2371,-21514,2504,-24182,-342,15113
85880,9452,-32764,9687,-27852,-4198,16247
85890,12765,-32764,32764,-29998,25243,21931
85900,12603,-32764,32764,7748,-1839,10976
85910,15934,-27018,15829,25095,-5687,-10374
85920,10134,-17294,9705,29696,-6223,-16968
85930,7215,-21530,710,28236,-6529,-23893
85940,5222,-22855,-1692,25570,-539,-27406
85950,1671,-22368,-1083,24541,10481,-24856
85960,-563,-24872,-982,25827,14734,-14592
85970,-5996,-5091,-170,22938,7256,-8953
85980,-10538,9512,-22256,13850,-8880,-2512
85990,-4426,-9663,-7277,-25803,-3924,7441
86000,-3286,-27810,6270,-32764,516,16636
86010,5069,-24595,10530,-32764,-3975,20622
86020,5503,-21190,6376,-32209,-9842,17071
86030,9591,-14061,4038,-21347,-7120,14671
86040,7490,-15616,4078,-22467,15692,10562
86050,847,-26350,14895,-27609,20411,4867
86060,-3219,-32764,32764,-23223,14170,6946
86070,6850,-32764,24507,32011,-2801,-6148
86080,2897,-28339,10586,18464,4091,-2524
86090,6764,-11544,8213,24765,-20641,-8316
86100,8109,-14030,3888,23940,-15089,-16308
86110,6666,-18208,1755,24518,-6049,-22127
86120,2145,-18950,516,25159,6228,-24674
86130,-830,-20163,3657,25127,14370,-16543
86140,-5487,-8555,262,22786,16344,-9613
86150,-9642,4121,-7551,12803,5769,734
86160,-5650,90,-12584,-16908,2777,7685
86170,-2757,-23167,6589,-32764,8017,13748
86180,4565,-21706,10046,-32464,-4651,16607
86190,9374,-15810,6991,-30627,-431,11469
86200,7803,-13277,4695,-22114,-2377,5892
86210,3555,-11171,3051,-22695,-1687,927
86220,3699,-17288,4391,-21863,-1617,3840
86230,8701,-32764,6133,-28383,-10179,2779
86240,10875,-32764,31757,-32641,5868,7651
86250,29420,-32764,32076,19045,-14508,-12640
86260,3878,-18847,6753,28841,32593,-5145
86270,2981,-10262,8877,27663,-16489,-4476
86280,7363,-14730,5301,28865,-17550,-8991
86290,4665,-16104,838,26990,-2486,-14021
86300,1584,-18287,4746,25038,1920,-15087
86310,-794,-19520,8860,29286,13724,-9283
86320,-3688,-13886,1665,26228,12491,-1470
86330,-732,2232,-18538,13186,-16207,-1763
86340,-2208,-6177,-8675,-22220,593,5244
