t_ms,ax,ay,az,gx,gy,gz
bjbjbjʊj
108500,2007,-25400,-13031,-32764,1464,-15767
108510,3725,-17591,-5362,-32185,-10291,-15672
108520,-2698,6978,11767,-22381,3888,-5789
108530,-22193,17416,32764,-23984,5757,-3381
108540,-929,4636,32764,-2794,-6412,19081
108550,11020,-10954,30466,23551,-16774,12045
108560,5118,-11431,176,32764,-17344,413
108570,1898,-9861,-5955,25810,2982,1916
108580,774,-11869,-4212,19499,6206,5461
108590,4169,-18835,-5570,23845,6124,10921
108600,10784,-16376,-17367,32345,-1661,10332
108610,7441,-21441,-28856,32581,-4708,10146
108620,19287,-29693,-31990,32762,-8551,12991
108630,22082,-19914,-32750,32764,1109,12542
108640,27586,4790,-32750,22437,-2753,6607
108650,23645,4217,-32750,-5235,-5880,-5994
108660,18919,-17101,-32750,-32748,4447,-6738
108670,18209,-28427,-32750,-32764,1403,-11246
108680,15036,-30074,-30254,-32764,3902,-14336
108690,9579,-25088,-24596,-32764,10389,-14122
108700,5079,-20778,-18490,-32764,18664,-14767
108710,1277,-15650,-11437,-32741,19676,-15356
108720,-6323,-12804,-1114,-28755,11785,-15938
108730,-7613,-4028,10664,-21699,9847,-8802
108740,-5457,-5615,32241,-18764,453,-4745
108750,-10304,-3306,32764,158,-2010,-5644
108760,-10889,-1832,28921,12622,-6419,-646
108770,-6585,-899,17183,19070,-3885,6175
108780,-3719,-2685,8631,22586,-6068,9763
108790,-552,-5120,3628,25765,-12061,10711
108800,3905,-8321,-5675,32764,-23988,7407
108810,6287,-11316,-16818,32764,-25991,-866
108820,6399,-12030,-24867,32764,-9653,-2892
108830,5219,-12384,-27575,31639,7163,1929
108840,5452,-10138,-32750,26675,-3868,-1378
108850,1823,-3311,-32695,16616,-2882,-1396
108860,4908,-547,-26971,13889,9071,10837
108870,14317,8185,-32713,18844,1224,5744
108880,14849,3176,-32750,11752,4016,-2428
108890,10094,2596,-32750,-3466,478,-6660
108900,8225,-2826,-32750,-24715,-281,-2975
108910,7180,-10877,-32750,-32764,4490,-2601
108920,8409,-16978,-32750,-32764,5114,-3230
108930,4229,-18923,-29692,-32764,9279,-4728
108940,2573,-18239,-17737,-32764,19928,-2801
108950,-1340,-15864,-3662,-32764,21531,-5367
108960,-1074,-10394,11457,-20748,596,-6085
108970,5033,-4172,28652,-16339,-2510,-4532
108980,4861,-3314,32732,-7947,2311,-4032
108990,-3381,-4395,32728,9298,-2406,-2447
109000,-992,-4181,19807,22362,-4780,-530
109010,-1995,-4446,8444,26112,-7928,-766
109020,-2227,-7767,2030,27603,-4969,2994
109030,2737,-10936,-7314,32610,-17569,3559
109040,3869,-12106,-25084,32764,-12387,-26
109050,3113,-8582,-29292,32758,-3854,560
109060,3806,-5310,-30248,25870,10547,8990
109070,10078,-6011,-32749,26791,3241,12510
109080,14867,69,-32750,23939,-1602,6754
109090,23125,10310,-32750,12288,-423,5164
109100,18827,8368,-32750,-4095,-3301,-5836
109110,10819,-2164,-32750,-24602,836,-6594
109120,10768,-13976,-32750,-32764,3861,-3439
109130,7123,-18521,-28290,-32764,12306,-5662
109140,2773,-17305,-18404,-32764,17379,-8361
109150,2191,-12312,-8094,-32757,20178,-6691
109160,60,-6249,-398,-25278,9444,-9650
109170,268,-2785,5936,-19092,2506,-9231
109180,2463,-1191,20407,-17758,-1675,-5142
109190,1981,21,32764,-11085,3034,-2564
109200,-3751,-1034,32764,2833,5961,622
109210,-3106,-2205,24449,16701,-3243,2041
109220,-1820,-2246,10918,23452,-7952,1763
