t_ms,ax,ay,az,gx,gy,gz
bjbbjbjʪj
79260,6204,-14355,-1990,632,-2625,-765
79270,5660,-13998,-1737,757,-2848,-1111
79280,5368,-14772,-2111,979,-3499,-1129
79290,5442,-15805,-3199,2923,-3350,237
79300,6871,-16341,-3549,2661,-3748,1492
79310,7037,-16337,-5185,5784,-8422,-1719
79320,6595,-14491,-5596,4667,-10663,-3875
79330,5974,-14896,-3942,-820,-5349,-2792
79340,5776,-15359,-2683,-1020,-3344,-110
79350,8014,-15417,-1705,-1016,-4538,1344
79360,18058,-14724,4288,-6600,-4601,-7868
79370,15760,-18730,3581,5496,-11261,-15433
79380,15755,-14855,1785,9894,-5875,-15978
79390,21603,-15895,434,-745,-9711,-13571
79400,25106,-16491,3884,-4974,2024,-11944
79410,31513,-31280,-9052,22080,30564,-2072
79420,27247,-31013,-11045,18533,20711,-11658
79430,23052,-19633,-10629,13789,-16389,-32410
79440,30701,-13262,-4016,-5436,-4007,-30878
79450,13780,-15524,-2754,8201,32679,-32764
79460,3295,-20327,-8703,17714,21279,-32764
79470,1749,-12443,-7038,10870,7138,-32764
79480,-3853,-8577,-4778,1443,17762,-27418
79490,-20833,-3656,-1146,-9163,14731,-18208
79500,-32077,1830,5525,-6733,3057,-2869
79510,-30180,-2251,4281,-2614,-10817,11511
79520,-16427,-13134,-1293,8305,-23092,30536
79530,1929,-25224,-14586,8005,-21311,32764
79540,32750,-22273,-22238,2001,-32620,32764
79550,32750,-24634,-21003,2075,-15747,32764
79560,29849,-10040,-14327,-16353,-8221,32764
79570,16908,-9374,-2354,-31656,381,25330
79580,15276,-17774,-4425,-19804,-5685,17952
79590,32749,-32764,1854,-26139,-8209,20109
79600,32750,-32764,12012,4676,2775,5802
79610,32750,-32764,-8815,32764,29244,-8773
79620,32750,-32764,-10283,31152,20683,-22161
79630,17511,-22023,-12298,32021,4750,-32764
79640,5772,-16229,-15624,25947,-329,-32764
79650,3723,-15518,-12147,14860,32331,-29880
79660,9847,-17074,-17063,11067,22851,-11284
79670,13724,-15522,-8866,10227,7331,-32018
79680,4543,-8399,-3380,4173,4239,-32583
79690,-19335,-6541,-2065,5830,17546,-27770
79700,-32764,11285,3268,3674,-8530,-11592
79710,-32716,10790,4591,-7884,5074,20020
79720,-11016,-5041,-505,-13423,-2421,31637
79730,-1210,-13870,1864,-17369,-20053,31330
79740,8445,-29101,-6174,1194,-22395,32764
79750,26529,-30055,-15543,-852,-16947,32764
79760,20704,-21380,-14372,-10178,-4109,32764
79770,13260,-20272,-8491,-27521,-7159,27929
79780,20954,-22636,-5435,-32764,-2976,29152
79790,32750,-31374,10036,-28182,-1496,10531
