t_ms,ax,ay,az,gx,gy,gz
bbjj
111070,148,-1102,385,-23413,1656,-10316
111080,-3334,2285,3642,-20675,-5525,-4848
111090,1608,2622,7821,-21749,-8935,460
111100,6576,1251,17191,-22808,-2778,6388
111110,8923,1192,32142,-16326,1059,4584
111120,8115,-403,32764,768,6046,2417
111130,4864,-1966,30701,16548,2949,2519
111140,3857,-1946,18861,24689,1092,3032
111150,2498,-2864,7211,31056,1277,6233
111160,3194,-3703,215,29465,829,8133
111170,3189,-3765,-5191,30463,-5965,9178
111180,7473,-5625,-10168,30574,-6946,9461
111190,7472,-7626,-14664,28758,1949,10765
111200,10298,-11537,-18402,27913,5239,14870
111210,14901,-9811,-22751,25569,3219,14820
111220,17658,-7320,-25693,19223,1913,15163
111230,24055,-4975,-25143,12584,-118,13143
111240,32674,-575,-32373,10253,-1561,8291
111250,30957,966,-32750,-5871,-2711,-3600
111260,25511,-6115,-27649,-18428,668,-10695
111270,19715,-10082,-24068,-23262,104,-14425
111280,15997,-11544,-21860,-28914,2375,-15243
111290,12815,-12404,-17875,-32457,3906,-17133
111300,8766,-9700,-11709,-32486,3814,-17159
111310,3861,-5671,-5081,-29338,5754,-15288
111320,2613,-1123,-926,-24015,-607,-12858
111330,-1487,-110,5500,-23081,-3425,-9347
111340,-511,1141,10992,-19640,-5611,-971
111350,4209,702,22752,-18650,-5383,4293
111360,7559,3044,29537,-1423,1688,1097
111370,4810,4009,30154,4919,2698,594
111380,3280,4748,25743,13479,5696,2793
111390,5581,2854,14630,22733,2923,5703
111400,7700,1756,5496,27186,-1516,4770
111410,6015,163,-557,28630,-2850,3357
111420,2872,-1593,-5147,28048,-804,5720
111430,2884,-3904,-9091,27739,-4467,9253
111440,8321,-7226,-11278,26512,-402,13684
111450,13513,-9173,-18860,29153,-384,13812
111460,23974,1213,-31029,23597,4334,10894
111470,21680,-79,-26229,11831,11229,4717
111480,24552,827,-30537,10853,2766,4261
111490,28217,6339,-32750,2116,-6364,-4219
111500,22311,-1571,-32443,-19196,-886,-8710
111510,18257,-7892,-22955,-27552,-1120,-11519
111520,14652,-11378,-16943,-32764,2759,-13779
111530,7899,-12298,-10465,-32764,2077,-15538
111540,2457,-6873,241,-32631,4618,-12145
111550,-341,1019,6199,-24253,1089,-6623
111560,3632,5980,7285,-21551,-7627,-4122
111570,7401,5993,6293,-20944,-3697,-1173
111580,8293,3926,14143,-27399,5522,350
111590,5187,-512,32764,-18111,7569,36
111600,3822,-5390,32764,9149,3146,-1280
111610,1998,-5508,22697,25546,-6402,-4343
111620,-2012,-4702,11214,30203,-3806,-1264
111630,-2394,-4529,2599,26855,-2524,5189
111640,-520,-6306,-63,25419,-3979,10477
111650,2598,-10644,-4571,28063,-11509,12809
111660,9177,-15218,-12432,32764,-13179,10220
111670,11062,-21251,-23179,32764,-536,8958
111680,13247,-13620,-32750,32764,8261,11156
111690,20859,1139,-32750,20356,13340,11667
111700,21961,287,-32750,11174,2355,6032
111710,30722,-1172,-32750,-4693,-1292,1155
111720,32750,-7360,-32546,-14609,592,-1526
111730,32750,-9171,-30652,-18065,-1098,-7446
111740,25539,-7607,-22480,-24990,6576,-7412
111750,19320,-4075,-15174,-25994,9784,-10564
111760,10858,-11017,-16571,-27869,15635,-20486
111770,5368,-18603,-14936,-31714,19230,-23740
111780,2130,-19794,-7650,-27894,9825,-27113
111790,-4461,-14738,2382,-22029,12638,-23515
111800,-16727,1792,14882,-9178,16217,-10255
111810,-23815,9903,26383,-6474,-8079,-9213
111820,-28446,5893,32764,-5991,-4188,13887
111830,-2260,-16529,29993,10223,-27285,25909
111840,8032,-21091,2113,32729,-30027,16943
111850,5478,-15316,-9108,32764,-21275,9441
111860,5934,-12462,-10776,29108,-11862,10633
111870,12351,-14275,-13959,27742,-14685,4330
111880,18102,-1379,-27777,28948,-1955,-2690
111890,10003,1892,-32750,14943,-896,-4952
111900,17169,1581,-32750,7958,411,23
111910,25871,3446,-32750,6948,-3749,11422
111920,32750,2782,-32750,-16109,2864,261
111930,19085,279,-26008,-21668,13272,-6447
111940,11779,-5367,-14491,-27250,6776,-13492
111950,4353,-12690,-11470,-27691,12019,-16045
111960,349,-14265,-10185,-23917,4492,-18589
111970,4403,-16189,-8022,-30077,-11138,-19475
111980,-481,-3488,3351,-25564,-20004,-19095
111990,-15110,10813,21171,-19963,-7719,-5433
112000,3313,18480,23498,-11712,-10842,14834
112010,17921,9969,13057,-5989,-3456,21823
112020,21577,4604,5910,-5119,3440,10555
112030,13584,1792,10719,-5720,13011,-2198
112040,-56,3673,10676,2701,7151,-7203
112050,2090,5416,11685,5240,-4468,-3868
112060,9402,7855,21254,6248,4797,402
112070,11159,6796,20481,20696,7246,953
112080,871,1848,15390,28891,1945,-1598
112090,-9549,308,8665,30520,1656,7184
112100,-2511,-19919,-2257,32715,-2930,24965
112110,15199,-32764,-17371,32764,-25737,25463
112120,12660,-24420,-24906,32764,-5237,-3006
112130,5156,-6072,-25174,30507,2843,914
112140,11345,-5245,-24146,23686,3954,1043
112150,16848,-2837,-31486,17085,5537,1578
112160,26396,-7533,-32750,10442,3505,534
112170,32750,-15286,-32750,-5099,-4593,3905
112180,32750,-8281,-32750,-17757,-6285,419
112190,23339,-5399,-32747,-22379,8857,-6262
112200,15305,-21203,-24510,-32764,13208,-16597
112210,6640,-32764,-16764,-32764,15614,-26061
112220,4210,-31777,-8555,-32764,19190,-25685
112230,1343,-29152,-1079,-30170,17848,-24702
112240,-11342,-11111,13206,-8707,13199,-27152
112250,-31479,7428,30960,-2801,-11917,-22544
112260,-32764,14910,32709,10665,-9965,-2002
112270,-12273,609,19538,6551,-1869,25390
112280,6989,-12381,13885,13859,-15339,25031
112290,9247,-19153,2231,25191,-16158,17049
112300,8671,-18702,-5580,32764,-6340,14051
112310,8931,-17948,-10971,32764,-7720,10721
112320,14897,-9831,-17192,32601,-5128,7296
112330,15608,-7138,-32721,32764,-6635,2089
112340,28580,-4763,-32750,21963,-5709,1737
112350,32711,-5011,-32750,7522,9960,6730
112360,32750,-294,-32750,-10617,-5640,1017
112370,20255,-181,-32750,-20333,4380,-8812
112380,12348,-14286,-21668,-32764,-1749,-16668
112390,6045,-23213,-18894,-32764,5078,-20370
112400,3611,-25840,-11796,-32764,2558,-21542
112410,1453,-20572,-3448,-32764,-3871,-18886
112420,-7782,-3073,19445,-25829,9422,-6726
112430,-18084,5320,32764,-16688,16440,-1774
112440,-22524,3962,32764,6542,-3048,13352
112450,2720,-12515,25084,16788,-3833,26956
112460,6944,-20546,2337,32132,-18124,17019
112470,6182,-15597,-10357,31132,-6365,14944
112480,5576,-12232,-10831,25478,-4207,13221
112490,7156,-11733,-8499,24615,-6359,10112
112500,7938,-7684,-17881,29630,-8171,11297
112510,15346,-22391,-24216,24105,-3275,17556
112520,32750,-25316,-32749,32568,10692,27977
112530,32540,2386,-32750,19461,-6901,6855
112540,29801,-254,-24396,-3885,-11,523
112550,19579,-2971,-22846,-7143,3596,-8219
112560,10131,-10163,-14415,-17191,5442,-8467
112570,6145,-10482,-8325,-16058,1361,-7204
112580,3887,-7892,-3553,-12026,545,-2828
112590,6066,-2765,-2862,-7146,499,576
112600,13904,-1863,-7829,-2214,-3889,-777
112610,21647,2605,-17338,342,-8385,-6658
112620,31308,376,-28397,-6749,-6801,-7476
112630,25150,-4115,-31595,-20091,5320,-7673
112640,25006,-219,-23163,-23168,-2106,-4001
112650,17767,-2225,-18674,-26535,15472,-8107
112660,6144,-9738,-12950,-27925,20700,-20500
112670,467,-14142,-10591,-26994,13487,-24763
112680,-824,-17149,-5694,-26079,2204,-24550
112690,-5597,-8892,16567,-23101,850,-14722
112700,-14053,3159,32764,-6753,12748,-10826
112710,-30706,12089,32764,4581,-2444,-1476
112720,-16012,327,27741,2812,-1532,28366
112730,8297,-14487,15806,18255,-28771,25905
112740,10415,-19449,-4728,32764,-11511,14766
112750,4464,-18658,-14392,32764,-9672,10618
112760,4412,-12827,-17838,30846,-11933,6799
112770,5140,-11275,-13751,26136,-12878,5780
112780,14273,-18209,-22228,27620,-9627,10419
112790,25523,-26682,-32612,32764,7543,16070
112800,28293,-17904,-32750,32764,4255,14735
112810,23490,830,-32750,14525,-5663,1281
112820,18910,-562,-27857,3781,1792,-1447
112830,11981,-3582,-22367,-6187,1181,-6917
112840,7477,-6669,-16314,-13850,2190,-6424
112850,6258,-6517,-11531,-15397,1098,-5924
112860,11857,-7140,-15304,-13878,-667,-5202
112870,21770,-9499,-24888,-16784,-5733,-6508
112880,25141,-11795,-29912,-22606,1803,-7138
112890,21127,-4894,-24852,-22411,-1686,-2034
112900,25411,1288,-19194,-25607,1492,-1736
112910,14960,-9788,-13741,-28958,13130,-15701
112920,5596,-17289,-11381,-29303,13739,-21251
112930,1924,-18142,-7496,-27964,11035,-23744
112940,-3766,-10599,-820,-18040,-1367,-23374
112950,-18320,9275,5675,-15655,-1574,-13302
112960,-29486,3463,32764,-30359,5005,3731
112970,1846,-6387,32764,-16100,10589,24383
112980,863,-7796,32764,10830,3984,10254
112990,-3406,-7960,9516,32760,-12450,5536
113000,-5413,-7807,-1310,32764,-15189,6363
113010,-2297,-9704,-5192,30542,-13436,12620
113020,1565,-14325,-9706,30959,-13048,17906
113030,13837,-23613,-18618,32764,-16434,18190
113040,15328,-27043,-23790,32764,7338,15561
113050,22582,-25460,-31362,32764,11944,23500
113060,32750,-12224,-32750,32487,-1084,14928
113070,32750,1196,-32750,9634,-4637,2608
113080,31857,-3968,-32750,-11746,-307,-6244
113090,23818,-17049,-32268,-29025,397,-12247
113100,19939,-22776,-26903,-32764,5187,-15303
113110,17093,-23425,-23187,-32764,8157,-17839
113120,12188,-20798,-17771,-32764,8126,-22698
113130,6543,-15761,-10179,-32764,7865,-23470
113140,6,-9731,-2027,-26747,11626,-22906
113150,-3831,-4758,778,-21292,-3167,-19419
113160,-2391,-2334,6880,-24472,-13265,-9312
113170,-3104,-4852,31433,-23257,3257,2035
113180,-741,-5522,32764,-10290,6901,2838
113190,-4367,-3138,32764,8463,1530,4300
113200,-2930,-2143,19314,22064,-1330,8756
113210,28,-3621,10119,27223,-4438,11641
113220,3472,-6345,1672,30121,-6784,13201
113230,4863,-9007,-3816,32762,-16253,11870
113240,7916,-12030,-14112,32764,-27462,7255
113250,12183,-13264,-22272,32764,-2101,6996
113260,9764,-13766,-25683,32165,13414,10781
