t_ms,ax,ay,az,gx,gy,gz
bjʚbj¢j
21160,32750,-32764,-4809,28752,11501,-26746
21170,18716,-32065,-12047,32764,8120,-27488
21180,15634,-16684,-8052,19260,-2809,-14546
21190,21453,-11259,-3728,6777,-5927,-9029
21200,20719,-7266,3200,-5784,7592,-11845
21210,15538,-7743,4777,3415,12462,-10747
21220,15237,-10913,-2231,20343,17219,-13527
21230,12451,-12909,-12855,24240,24067,-20454
21240,9130,-13043,-11629,16289,11966,-27405
21250,14077,-12419,-8713,11099,9600,-27104
21260,8323,-3398,-3079,6128,25564,-28129
21270,-14091,-217,-366,11526,19587,-31429
21280,-31927,11010,1258,9134,-4736,-20858
21290,-32764,14026,2131,1840,2829,-3642
21300,-32764,12991,3172,-6738,-5236,8851
21310,-22331,3083,-369,-4503,-10790,21775
21320,-10251,-903,-1611,-2327,-12390,26498
21330,3141,-15345,-2569,-9424,-17877,32764
21340,21540,-25076,-8308,-13531,-10508,32764
21350,21634,-18277,-9348,-11550,-17382,30307
21360,17565,-15316,-8450,-17270,-12535,27715
21370,16781,-15413,-3784,-27722,-10352,24625
21380,19239,-12315,-3218,-24355,-8645,17645
21390,20306,-16262,3352,-25068,-5442,11701
21400,26426,-21854,5193,-16206,-10353,7995
21410,30254,-28283,3233,-11396,-12275,3497
21420,32750,-32764,14137,-6997,-6519,7412
21430,32750,-32764,23171,9789,-2078,-2119
21440,32750,-32764,9424,27532,3363,-9908
21450,32733,-28688,-9853,26105,11395,-14918
21460,18756,-20337,-6765,15187,-5695,-24441
21470,13671,-12890,-6002,9844,-9023,-30723
21480,13329,-15444,-5618,4000,7737,-25910
21490,6819,-16372,-6708,8931,18023,-28822
21500,8960,-12475,-6678,5766,10765,-26188
21510,16968,-15708,-9458,4911,18788,-22065
21520,13951,-18274,-10693,6470,24050,-31223
21530,2523,-8359,-8701,8353,23971,-30967
21540,-12403,264,-5513,5684,26028,-26423
21550,-32764,7774,-3250,8431,4608,-13747
21560,-32764,18749,-10914,6271,-12082,-213
21570,-30834,17831,-7172,-4851,-12450,6269
21580,-18703,3333,-2388,-13442,-908,20888
21590,-8115,-15867,5763,-29994,-11529,30037
21600,11688,-20880,-3819,-7754,-19989,32764
21610,28940,-25716,-7633,-18166,-19498,32430
21620,24813,-19187,-3192,-21574,-25222,20300
21630,17169,-10805,-3645,-12495,-14990,14622
21640,10380,-8075,-3866,-13694,-12894,14165
21650,12605,-15220,-712,-22891,-9311,20000
21660,9168,-29110,15536,-5317,-25961,28452
21670,32750,-27707,-12408,22273,-27290,30793
21680,32750,-31239,22382,-14383,17779,12489
21690,32750,-32764,5304,8641,-7889,-15731
21700,32750,-31309,6045,-1600,-17694,-21893
21710,28800,-32764,-6243,-10043,-20930,-25724
21720,31035,-32764,-7056,3042,12472,-23996
21730,14184,-26610,-12554,16770,32646,-25304
21740,7120,-16659,-8585,8176,1260,-30238
21750,10377,-15022,-6850,-47,-8772,-32764
21760,7373,-18053,-6089,-3075,8889,-32764
21770,1961,-20866,-9844,2619,11111,-32163
21780,4982,-16949,-11727,-289,-19088,-32568
21790,2364,-17609,-4383,-16526,22497,-28066
21800,-19089,-296,-5935,-2503,29599,-20375
21810,-17801,11702,-836,-2426,-7165,-17510
21820,-21696,11565,7676,-3061,-6089,-15129
21830,-32764,19323,8803,-4942,11543,-3881
21840,-32764,17432,10445,-6781,3541,10096
21850,-16809,10281,9207,-1189,-5009,23372
21860,-9852,8878,5222,-893,8116,25253
21870,-3963,-2780,5596,-13279,-2818,30287
21880,-1355,-20138,3520,-18585,-9633,29534
21890,7673,-31574,-8890,-1135,-28300,32764
21900,24103,-31118,-19393,3047,-22507,32764
21910,21098,-18712,-15817,-8590,-2645,32746
21920,14145,-15552,-8176,-18536,-2500,25996
21930,13899,-17896,-6112,-20532,-2988,24392
21940,18329,-19634,-3394,-23216,-1707,21042
21950,26691,-32764,-2654,-16869,-23949,11616
21960,32750,-32764,2029,-19978,-32764,6896
21970,32750,-32764,-10361,-1276,21401,810
21980,32750,-32764,-15746,9930,18571,-15483
