t_ms,ax,ay,az,gx,gy,gz
j
3530,6038,-32764,-12770,-32764,-25449,18010
3540,13705,-32764,-5589,-32764,-32027,22990
3550,9431,-30610,-967,-32764,-7902,18754
3560,3376,-30177,-571,-32764,8920,23036
3570,25711,-32764,13718,-32139,-20755,8283
3580,23111,-32764,8702,-32749,-3036,-9844
3590,10062,-32757,-22572,13836,-12830,-5845
3600,7471,-32724,-13785,-561,-2555,769
3610,4217,-8447,-7182,-4436,9028,6813
3620,5601,-5921,6190,-6863,-8992,-1402
3630,10259,-8097,15013,7669,-12762,-13356
3640,15570,-21226,13259,28720,-20933,-29989
3650,26860,-32764,-1887,32764,-32764,-32764
3660,32750,-32764,-8000,13051,-17868,-32764
3670,16478,-32764,-14121,11102,26475,-32764
3680,13405,-24841,-12799,12040,19365,-32764
3690,15912,-20518,-11921,10839,3591,-32764
3700,13659,-24936,-10615,858,16832,-32764
3710,3609,-25791,-5050,52,20931,-32764
3720,-11190,-20205,-6093,8072,28225,-32764
3730,-32764,-650,-22241,7937,29887,-31607
3740,-32013,4441,-16045,-16240,18204,-1259
3750,-24765,7530,-5209,-12684,8307,5255
3760,-14834,16229,3975,-7543,-9057,11678
3770,4961,12710,19044,-11691,-3826,16705
3780,8198,11278,16415,-1434,-4625,4630
3790,-985,9657,3761,-110,5640,1368
3800,-10470,9685,-6637,-1126,872,2150
3810,-17734,13108,-14497,-10214,-7553,2139
3820,-11086,-2970,-3630,-30718,-6866,21586
3830,4995,-25095,-9143,-32464,-25935,27050
3840,20088,-32764,-11161,-32764,-23121,32755
3850,18476,-32764,-9031,-32764,-23501,23330
3860,14824,-32764,-2768,-32764,-18745,25019
3870,16146,-28288,6424,-32764,-13189,24097
3880,23501,-32764,11375,-30708,-12151,17200
3890,28833,-32764,11324,-32764,21091,20743
3900,12963,-31132,-12195,-428,14478,-6429
3910,5819,-32529,-24495,4651,8179,12076
3920,11054,-8033,-12763,-4894,3577,3659
3930,3162,-383,-1849,-3708,-4222,-9064
3940,611,1929,-331,-2555,-2073,-10411
3950,4340,-11095,18507,-10979,-10154,-10191
3960,18890,-32764,21741,30831,-6620,-21707
3970,26979,-32764,5571,32764,-6979,-26767
3980,31741,-32764,-3395,32764,-2960,-32762
3990,23049,-32764,-9978,32764,24779,-32764
4000,18784,-32764,-8780,32764,16443,-32764
4010,14568,-32047,-7852,32633,14182,-32764
4020,3832,-25964,-11169,30706,23656,-32764
4030,-4138,-14259,-12741,21855,28988,-32602
4040,-12837,-4081,-17594,18261,26424,-19873
4050,-21533,7273,-26359,5477,6212,-5067
4060,-23440,15457,-24911,-2075,-294,-156
4070,-19913,17961,-17057,-16240,-8836,10701
4080,8383,5976,18271,-23811,-12390,17057
4090,18204,4347,30014,-5923,-532,1934
4100,4031,7665,11326,1656,6945,-5742
4110,-6486,9789,65,3786,561,-5150
4120,-14975,17764,-8509,1888,600,-1859
4130,-17726,25743,-8717,-19873,3974,4870
4140,-14130,639,-663,-32764,12282,12419
4150,-2848,-17648,-17297,-32764,-21418,13806
4160,8075,-32764,-21256,-32764,-32764,15800
4170,6893,-32764,-10600,-32764,-31290,29514
4180,18930,-32764,-2978,-32734,-7955,32764
4190,19238,-30767,-6767,-31839,7679,23004
4200,21997,-32764,2730,-32764,-15795,5597
4210,25333,-32764,16673,-32764,7279,10279
4220,-15132,-30939,31541,15174,-22857,-469
4230,-67,-32764,-18189,-4766,16016,7853
4240,8003,-12067,-20309,-2455,-324,4808
4250,3439,-5663,-4307,-6876,-3860,-1567
4260,1317,-1375,-1742,-1193,-3222,-5326
4270,-2907,-4336,-3183,1493,-6213,-7232
4280,-4188,-8706,-26,-2104,6164,2974
4290,-1722,-13490,-528,3058,15832,5959
4300,12100,-22901,14980,9753,-8292,-3758
4310,18405,-32764,20337,32036,4086,-8319
4320,5983,-32764,20163,32764,27168,-6745
4330,6712,-32764,15233,32764,-30502,-9593
4340,25401,-30797,5788,32764,-1397,-24081
4350,9008,-31227,1844,32764,25562,-25821
4360,7126,-30495,553,32764,23200,-17426
4370,7435,-26741,-2787,32764,9423,-14816
4380,6420,-20005,-227,32764,-5393,-19967
4390,-7816,-5887,-14614,32520,26004,-17288
4400,-12373,6400,-18638,18156,11395,-1268
4410,-9881,10372,-16715,12319,-2069,164
4420,-8325,20291,-13665,4497,-4571,752
4430,-7711,21504,-8908,-6667,-2176,3684
4440,-5195,17259,4551,-16832,-2409,6429
4450,1861,8885,15537,-13387,-3562,4928
4460,1497,8212,10096,-1614,1220,-1133
4470,-3537,8554,4344,128,3000,-683
4480,-5459,9725,2474,-1875,3072,775
4490,-7485,16162,-3242,-5339,3849,2185
4500,-9097,12514,-4309,-18915,-87,5154
4510,-524,-6845,-11794,-32534,-26551,11466
4520,5323,-29284,-14958,-32764,-32170,23354
4530,19742,-32764,-13882,-32764,-32764,32764
4540,26693,-32764,-4063,-32764,-32764,32764
4550,16018,-26068,1219,-21713,4611,31238
4560,17803,-21385,8127,-26628,11062,32452
4570,17300,-29284,6299,-11140,-2269,15280
4580,21785,-32764,-646,-30096,29115,20735
4590,21958,-32764,1241,13677,-21843,-13624
4600,5623,-25900,-13754,-8302,20465,3161
4610,1992,-10459,-6948,-6095,2686,863
4620,3401,-4078,-2680,-129,-2550,-2423
4630,-2160,-3865,-4772,2603,2336,-3945
4640,-4150,-5474,-7281,-59,1305,446
4650,-434,-7947,-9020,-3066,-293,5632
4660,631,-12190,-13153,-5349,2058,2706
4670,14258,-22720,-2821,-4246,8295,2352
