t_ms,ax,ay,az,gx,gy,gz
32764,12992,-32764,-24865,3978
13100,32249,-32742,15095,-16796,31550,1268
13110,17647,-32764,-8793,32764,11616,-4228
13120,2189,-31577,-17386,32764,-8150,-17509
13130,11149,-11086,-3082,20267,-32434,-9647
13140,14725,-17585,4672,11822,-15454,-28679
13150,10552,-24231,950,18178,10601,-32764
13160,5687,-27653,-1313,21681,22003,-32714
13170,-1618,-16676,290,24259,25336,-24836
13180,-14373,-5213,-10505,30967,24482,-15500
13190,-22176,9630,-24835,760,16101,10147
13200,-4311,-17636,-29488,-27208,-4556,29966
13210,14501,-32764,-4278,-32764,28322,22913
13220,-287,-32764,5900,-32764,27366,177
13230,4090,-24435,-782,-26765,-7561,-6093
13240,3055,-22466,-5092,-30152,-29806,-10661
13250,15525,-31135,3639,-31434,-32764,3848
13260,32750,-32764,14270,-24478,-25061,8069
13270,-16855,-32764,32764,-6514,27978,141
13280,14924,-32764,13957,32341,-19430,201
13290,20160,-26097,-11049,32764,16795,-7029
13300,6904,-12097,2595,19922,-13500,-17816
13310,12567,-19781,7216,22709,-26923,-29541
13320,8448,-22276,283,27481,14362,-31222
13330,3334,-19826,-2779,28842,24570,-23935
13340,1632,-14487,-1388,28566,21280,-18001
13350,-11458,-647,-17205,24133,12772,-4197
13360,2969,3050,-18792,-10859,-4943,8855
13370,263,-16199,-19393,-28902,5309,7985
13380,3835,-31043,-9953,-32764,7151,12820
13390,4226,-32764,-1900,-32764,1509,8325
13400,7824,-32764,2424,-32764,-7952,6200
13410,4398,-24743,5995,-32764,-17065,3792
13420,9464,-24184,10042,-26460,-26715,3114
13430,23509,-32764,18446,-19744,-11591,3958
13440,14543,-32764,24230,12036,1327,-921
13450,14798,-32764,5216,32764,-5484,-5199
13460,10872,-32508,-10953,32764,-11142,-7946
13470,15669,-11028,-2040,13163,-32764,-19166
13480,14998,-19745,3500,11069,-12812,-32764
13490,6587,-22312,-3666,22950,23046,-32764
13500,4374,-16746,-10064,24467,32764,-24200
13510,-3662,-14539,1371,13873,32764,-12569
13520,-9791,-6783,-1496,14762,30104,11441
13530,-7026,-1561,-28101,16393,-12813,11956
13540,2340,-17491,-23569,-31461,-7630,14846
13550,-853,-32764,-5007,-32764,21819,13591
13560,1676,-31087,1502,-32764,4586,3263
13570,4630,-24205,-619,-32636,-9132,-2716
13580,2536,-22637,-4238,-25201,-17883,-5009
13590,10817,-30499,2965,-28125,-32764,8254
13600,32750,-32764,32764,-32565,7034,30717
13610,12246,-32764,27549,29288,-3283,-20639
13620,8939,-32764,-10593,32764,-31051,-14778
13630,11902,-13739,-12425,27373,-20407,-24055
13640,13235,-17238,-1222,3380,-9094,-28608
13650,12860,-27003,4367,8834,8155,-32764
13660,5820,-27890,-778,19947,27604,-32764
13670,648,-21911,-2770,31312,32764,-28302
13680,-15329,-15539,-24800,32764,21115,-20057
13690,-2618,3835,-22822,-13274,-2483,10090
13700,-2128,-10850,-15430,-28401,12460,7318
13710,-1359,-32764,-163,-32764,13154,14591
13720,10363,-32764,9153,-32764,16124,10604
13730,2392,-28194,8010,-32764,816,-3808
13740,5438,-21111,4777,-32764,-19953,-2099
13750,6672,-21550,5552,-29820,-32764,-5718
13760,19276,-28812,7072,-26968,-28757,1456
13770,25464,-32764,28660,-31960,26694,19132
13780,11503,-32764,3323,26516,-11036,-14950
13790,10879,-32764,-3075,32764,-12668,-13883
13800,9367,-13806,-1852,30985,-13177,-14551
13810,11994,-14893,-1188,26693,-32749,-30182
13820,12774,-19411,-80,16026,-8436,-32764
13830,6867,-22053,-2467,13052,30172,-30612
13840,2753,-22153,-1879,17812,29999,-21782
13850,-8657,-14359,670,18095,16214,-13881
13860,-13028,-970,-22067,30012,-21643,-7105
13870,-15516,-8549,-20554,-14233,-3281,14530
13880,1450,-22706,-9915,-32751,-1557,32764
13890,19072,-32764,-3820,-32764,729,32764
13900,7163,-22581,4489,-32764,17184,21539
13910,1625,-17240,-1593,-19659,7370,15794
13920,3257,-19684,-2274,-32713,2178,16878
13930,21056,-32764,21711,-32553,802,17406
13940,8088,-32764,32764,-24031,6818,706
13950,7094,-32764,8140,31691,323,-12472
13960,5935,-32764,-11134,32764,-21302,-12853
13970,12550,-7672,214,18557,-13924,-10958
13980,17059,-11718,4358,18017,-11435,-16563
13990,10064,-20120,2276,19072,3553,-25529
14000,8550,-23096,1683,20052,7549,-26894
14010,8409,-31121,6273,20639,14577,-27545
14020,5688,-32764,4953,32603,27906,-26472
14030,-11194,-6389,-17739,32764,10426,-19821
14040,-28220,14827,-32750,-2979,6470,-3934
14050,-1166,-26603,-13571,-32764,-5533,23439
14060,13285,-32764,-2554,-32764,5057,20219
14070,9069,-32764,5247,-32764,2065,9990
14080,9910,-25607,904,-32764,-7208,9117
14090,10264,-22430,-156,-32447,-28310,-166
14100,13837,-25231,5981,-32764,-18627,7432
14110,31961,-32764,30906,-32543,9444,17559
14120,19969,-32764,21794,4931,3842,-3586
14130,19344,-32764,-5478,32764,2124,-27
14140,9633,-22001,-2133,31737,-19042,-13960
14150,9814,-14374,3849,26054,-22036,-24043
14160,9369,-17452,241,27417,-12580,-29022
14170,18518,-20321,-249,15486,17399,-28414
14180,11557,-30446,-14,20630,32764,-30492
14190,-8107,-20232,-2499,30121,32764,-22961
14200,-11189,144,-25888,19089,16785,11607
14210,-10105,2352,-32750,-9268,-21272,5433
14220,1494,-32597,-18381,-32764,-17161,19115
14230,10330,-32764,-3635,-32764,6181,24992
