t_ms,ax,ay,az,gx,gy,gz
50,-31496,-15857,4436,25737,-32764
3500,13956,-16641,-8051,4974,16941,-32764
3510,3620,-5829,-5918,5527,3776,-28463
3520,9690,-1991,-4141,740,8334,-19273
3530,12376,-5266,-4631,603,20296,-18375
3540,5729,-9079,-5711,7108,26168,-28672
3550,-2231,-7860,-8118,8015,20380,-28528
3560,-5603,-2938,-5934,3133,4844,-21200
3570,-31890,431,3303,-19458,-2015,-26054
3580,-24490,1147,7487,-1190,277,16193
3590,-21716,11336,1933,-3888,-3909,12165
3600,-13676,1291,6353,-16378,-16795,21197
3610,7418,-5473,9122,-3339,-28350,24952
3620,8869,-14936,-13534,11899,-22857,29289
3630,16952,-19993,-11434,2706,-16713,32764
3640,19401,-17190,-14503,2939,-12325,32764
3650,16852,-18607,-13322,-383,-24471,32764
3660,25578,-13393,-9671,-12915,-16874,31394
3670,32566,-19127,-8179,-30737,-5984,30123
3680,32750,-32764,3965,-32764,-8920,6438
3690,32750,-32764,4097,291,-4293,-1040
3700,32750,-32764,-16625,29042,26712,-7016
3710,32750,-28037,-14493,19742,7075,-26937
3720,25985,-19662,-9451,5592,-5015,-32764
3730,18526,-16349,-9605,824,21814,-32764
3740,9022,-19054,-20817,15083,32764,-32672
3750,8445,-16360,-21335,11483,32764,-32764
3760,6976,-13459,-23513,6760,18756,-32762
3770,2164,-10704,-11651,-470,22467,-30947
3780,-15773,715,24,-8297,11734,-30311
3790,-26116,-2764,7389,-1119,8694,-6765
3800,-29740,6669,8582,-5245,-7927,1989
3810,-22236,6855,7885,83,-13752,5735
3820,-7017,-4384,-866,5620,-8303,16180
3830,-11768,-1375,179,-5499,-12747,17658
3840,2943,-15931,-5063,3189,-29689,32462
3850,17095,-20280,-10466,5498,-13049,32764
3860,8326,-28683,-16367,12282,-25686,32764
3870,15947,-27120,-21469,14683,-32764,32764
3880,32750,-19460,-19541,9329,-32084,32764
3890,32750,-8640,-18708,-8939,9781,32623
3900,32750,-23563,-12599,-28159,14497,21474
3910,32750,-32764,-3715,-29199,3169,16190
3920,32750,-32764,-10193,7371,10298,-13630
3930,32750,-32021,-14901,22025,8266,-25898
3940,25250,-17449,-14685,10290,18615,-25113
3950,31677,-24943,-10820,-4833,23603,-27781
3960,15711,-29366,-17105,21529,28692,-32764
3970,-905,-23361,-17572,13388,25523,-32764
3980,-5343,-13520,-17437,2363,20067,-32747
3990,-60,-8138,-8142,3765,3645,-21181
4000,-527,-1575,-7804,3486,8079,-20895
4010,-13448,-884,-1987,-17398,-8596,-18661
4020,-20989,5769,16851,-28357,3860,-5790
4030,-29746,2043,13705,-15759,6858,8996
4040,-16638,726,6250,856,-10070,8746
4050,-19839,-5573,2078,-1239,-19677,8146
4060,-8297,-8901,-12601,6949,-32764,25972
4070,16452,-26403,-27283,12211,-32764,32764
4080,24977,-22069,-22933,-1724,460,32764
4090,17223,-30786,-20126,-6342,-32764,32764
4100,32750,-19054,-12746,-7743,-31207,32764
4110,32749,-18158,-4100,-27341,-5711,29208
4120,32750,-22084,3919,-24896,-4422,6342
4130,32750,-32764,6305,-13011,-4158,-2667
4140,32750,-32764,-8789,12342,-111,-16739
4150,32750,-31775,-27913,22354,19724,-16464
4160,32750,-24876,-18261,-1501,30774,-3972
4170,20420,-14356,-8219,12377,12309,-24397
4180,15672,-12783,-9490,24444,23301,-29324
4190,12777,-18781,-24409,32764,32764,-31251
4200,1086,-12066,-16678,17574,30716,-32763
4210,1614,-11536,-6711,7689,-4740,-29694
4220,3998,-11118,-2646,6434,-855,-27141
4230,5403,2525,-6316,11539,32764,-15455
4240,-16938,7812,-6857,3750,32522,-13090
4250,-24042,14499,-2514,10843,-32764,-16620
4260,-24294,11872,5447,-5403,-12139,1012
4270,-24302,-956,6666,-24572,10082,12305
4280,-9835,-2584,-2526,-13057,-10244,17738
4290,-3904,-12790,-12495,-17525,-14890,22237
4300,20789,-27406,-9882,-19298,-32764,32764
4310,23136,-27917,-12432,-11196,-32764,27593
4320,24287,-17969,-11050,-8323,-27150,32764
4330,28086,-15833,-8161,-21638,-5644,31157
4340,30033,-19232,-1370,-29730,-12820,16414
4350,32750,-32764,15554,-25761,-18321,11070
4360,32750,-32764,9832,870,-12363,-3279
4370,32750,-32754,-15557,984,3725,-3644
4380,32750,-29110,-10920,6389,15941,-11460
4390,32112,-18582,-18810,22086,18684,-25314
4400,23157,-11255,-14375,10237,17011,-32764
4410,13785,-14642,-14910,11520,32764,-32764
4420,7868,-13703,-21286,11865,24138,-32764
4430,7248,-12652,-17547,9583,32697,-24035
4440,6760,-18129,-12033,-1214,24345,-21487
4450,-11859,-2037,-6322,8628,25788,-22081
4460,-21147,-2194,2324,5791,3030,-13732
4470,-23594,5890,1950,-5248,9024,8977
4480,-32588,15394,5831,-12312,4739,2622
4490,-19218,-2670,5988,-7215,-28874,10929
4500,1773,-2429,4859,-4483,-23055,25349
4510,9306,-13139,-8150,-91,-16581,25985
4520,22074,-9813,-19352,-3377,-29531,29558
4530,13243,-12298,-14009,-1159,-32764,23015
4540,13928,-15326,-12885,3412,-31255,26572
4550,20024,-13204,-11328,-7937,-13732,32744
4560,26048,-13744,-8039,-24719,-10218,25530
4570,32750,-30635,5980,-32733,-6095,18488
4580,32750,-32764,12608,-695,-15670,1185
4590,32750,-32764,469,15728,12813,-7132
4600,32750,-27408,-12381,15463,17950,-11724
4610,32750,-20279,-11252,13994,20065,-23836
4620,19096,-20472,-6955,16344,21144,-32764
4630,9637,-21010,-16227,29262,15103,-32764
4640,11902,-13260,-23729,6886,16576,-32764
4650,10413,-15504,-19483,-6195,17805,-32758
4660,10014,-16347,-20093,102,30654,-26329
4670,-4488,-2976,-10580,-2803,12602,-31691
4680,-20451,-7998,9064,-11014,17041,-15807
4690,-32764,-2341,8162,-1503,4825,-7356
4700,-32764,1307,8844,-558,-7992,1670
4710,-31053,3766,5012,-1619,-4023,9806
4720,-24360,-12715,813,-2045,-24390,16401
4730,-2941,-10468,-9591,13585,-32764,32607
4740,31424,-24560,-25765,12387,-21688,32764
4750,26657,-12921,-18177,-7038,-16397,30693
4760,24606,-13124,-18795,187,-32764,22510
4770,23522,-3480,-15323,2148,-21696,22309
4780,15630,-4648,-5846,-15462,550,24775
4790,22333,-13835,-5521,-23729,-5304,29131
4800,32696,-32429,-3646,-30050,-28133,26498
4810,32750,-32764,-333,-11683,-9850,30283
4820,32750,-32764,-19346,32764,32726,16588
4830,32750,-29577,-14862,27617,-11904,-32406
4840,23934,-11723,-17199,9203,-13561,-32764
4850,12109,-22789,-18797,12403,32504,-32764
4860,6172,-27019,-24963,22500,32764,-32764
4870,12265,-17035,-21812,14182,32764,-14763
4880,4473,-16759,-11922,-33,30735,-32764
4890,1125,-20053,-9140,6240,8133,-32630
4900,-4646,-7918,-9035,-2721,11811,-24883
4910,-24886,-10147,2865,-12489,2881,-29778
4920,-32764,5789,12979,-4472,-6585,-15087
4930,-32764,-916,18958,400,-1631,13982
4940,-22290,-5487,1875,15970,-8074,26913
4950,-9417,-16264,-11315,5138,-23388,32764
4960,26161,-32764,-25719,-6553,-32764,32764
4970,32750,-28097,-15519,-10500,-4101,32764
4980,26812,-27430,-12942,-28302,23861,32764
4990,15129,-22963,-3844,-32764,-13369,31214
5000,25745,-23340,-2906,-31764,-32764,23859
5010,28460,-21929,-2254,-26820,-8085,10057
5020,31003,-32764,3560,-24645,-7342,-7501
5030,32750,-32764,-847,4344,-28265,-26040
5040,32750,-32764,-13794,20396,15835,-5276
5050,32719,-32764,-12053,17502,6696,-27925
5060,25868,-18224,-13638,17364,-14122,-32764
5070,18909,-15625,-20474,4258,17775,-32764
5080,13045,-20168,-22351,-3209,32187,-32764
5090,12256,-20786,-26599,-6617,29808,-32764
5100,7647,-20082,-22500,-10649,31197,-32764
5110,3610,-11104,-16956,-9000,9994,-32764
5120,-14423,-471,5610,-25339,24156,-23269
5130,-12542,-5890,12997,-9339,31898,1759
5140,-32764,-6538,8149,4712,-2973,-12815
5150,-30876,-7287,6663,1291,-4353,2430
5160,-24345,-5498,1335,47,-10859,14253
5170,-13870,-12639,-2327,2587,-26090,29744
5180,8635,-20052,-18832,7527,-30524,32764
5190,5291,-25288,-16365,12505,-32764,32764
5200,24065,-32624,-32118,26606,-32764,32764
5210,19828,-23512,-30685,19701,-11092,32764
5220,28687,-11678,-26454,-7761,-9849,32686
5230,32748,-19062,-9601,-24709,-13212,27647
5240,32750,-25499,-13766,-10318,-5658,16315
5250,32750,-32764,-11053,-466,13073,2270
5260,32750,-29299,-17128,5756,4735,-12588
5270,32750,-19981,-22169,6957,26437,-16595
5280,27689,-14011,-15928,1044,25348,-26752
5290,15811,-18498,-16644,4699,23955,-32764
5300,11970,-23193,-25388,5380,23791,-32764
5310,4079,-20495,-17168,-5038,32764,-32764
5320,-2239,-17962,-15091,-491,32418,-31667
5330,-4760,-9472,-9225,5068,16028,-22235
5340,-2526,12977,-5224,-6582,3439,-23626
5350,-28838,-2166,13629,-10698,10735,-18726
5360,-29800,-2362,12899,3639,-8749,-2661
5370,-21521,-4737,280,6463,-11782,8192
5380,-11238,-8279,-1456,1866,-15003,25424
5390,6347,-12676,-8292,-18,-19051,32764
5400,18262,-15658,-9817,-533,-21838,32764
5410,20322,-19010,-14971,6900,-26093,32764
5420,17297,-17013,-16021,4549,-30356,32764
5430,27401,-13858,-16672,4146,-30193,32764
5440,27755,-10782,-14938,-4720,-26861,20815
5450,32750,-13098,-17706,-8903,-30177,19536
5460,32750,-19292,-17485,-1137,13653,-406
5470,32750,-20125,-19935,1360,-4267,-15192
5480,32750,-19115,-24501,-789,20235,-19612
5490,28665,-14876,-17725,-423,14229,-29262
5500,14355,-12994,-14915,-2756,17988,-32764
5510,9747,-16524,-21398,-6277,23030,-32764
5520,4176,-16440,-16623,-15148,22469,-32764
5530,37,-14998,-13655,-12495,15243,-32298
5540,-1321,-10465,-8299,-4377,17504,-21749
5550,-6279,1233,-4837,-18351,20413,-18316
5560,-22639,-8649,12739,-14700,21226,-1934
5570,-24358,2725,6174,4627,-6431,73
5580,-32658,663,9233,-1680,-16118,4182
5590,-10004,-10524,1790,7961,-27443,28803
5600,11061,-9529,-8826,5875,-21397,32764
5610,14086,-18333,-13805,8163,-27194,32764
5620,29536,-15038,-20617,8830,-21369,32764
5630,28039,-11384,-17062,7952,-12438,31651
5640,23524,-2739,-12185,-5806,-32277,22514
5650,19831,-4420,-4003,-8089,-15838,18661
5660,24021,-10026,-11172,-9142,133,20289
5670,32750,-30046,-1609,-18970,-10866,17206
5680,32750,-31676,6726,7623,3720,-8287
5690,32750,-29618,-15447,20514,3212,-31623
5700,32748,-16595,-25646,11975,3597,-32764
5710,16650,-9331,-17597,-2166,13436,-30755
5720,11071,-10574,-16867,-6175,20895,-26862
